MODZCTA,month,date,positive,total,zcta_cum_perc_pos,newcases_apr_day,neighborhood_name,borough_group,time
10001,Apr,1,113,265,NA,23,Chelsea/NoMad/West Chelsea,Manhattan,Apr01
10001,Apr,3,136,304,44.74,10,Chelsea/NoMad/West Chelsea,Manhattan,Apr03
10001,Apr,4,146,321,45.48,12,Chelsea/NoMad/West Chelsea,Manhattan,Apr04
10001,Apr,5,158,337,46.88,0,Chelsea/NoMad/West Chelsea,Manhattan,Apr05
10001,Apr,6,158,337,46.88,12,Chelsea/NoMad/West Chelsea,Manhattan,Apr06
10001,Apr,7,170,364,46.7,8,Chelsea/NoMad/West Chelsea,Manhattan,Apr07
10001,Apr,8,178,384,46.35,13,Chelsea/NoMad/West Chelsea,Manhattan,Apr08
10001,Apr,9,191,408,46.81,6,Chelsea/NoMad/West Chelsea,Manhattan,Apr09
10001,Apr,10,197,429,45.92,4,Chelsea/NoMad/West Chelsea,Manhattan,Apr10
10001,Apr,11,201,435,46.21,10,Chelsea/NoMad/West Chelsea,Manhattan,Apr11
10001,Apr,12,211,448,47.1,10,Chelsea/NoMad/West Chelsea,Manhattan,Apr12
10001,Apr,13,221,462,47.84,10,Chelsea/NoMad/West Chelsea,Manhattan,Apr13
10001,Apr,14,231,480,48.12,7,Chelsea/NoMad/West Chelsea,Manhattan,Apr14
10001,Apr,15,238,502,47.41,4,Chelsea/NoMad/West Chelsea,Manhattan,Apr15
10001,Apr,16,242,521,46.45,9,Chelsea/NoMad/West Chelsea,Manhattan,Apr16
10001,Apr,17,251,545,46.06,3,Chelsea/NoMad/West Chelsea,Manhattan,Apr17
10001,Apr,18,254,563,45.12,6,Chelsea/NoMad/West Chelsea,Manhattan,Apr18
10001,Apr,19,260,571,45.53,1,Chelsea/NoMad/West Chelsea,Manhattan,Apr19
10001,Apr,20,261,582,44.85,5,Chelsea/NoMad/West Chelsea,Manhattan,Apr20
10001,Apr,21,266,600,44.33,2,Chelsea/NoMad/West Chelsea,Manhattan,Apr21
10001,Apr,22,268,603,44.44,9,Chelsea/NoMad/West Chelsea,Manhattan,Apr22
10001,Apr,23,277,636,43.55,8,Chelsea/NoMad/West Chelsea,Manhattan,Apr23
10001,Apr,24,285,661,43.12,3,Chelsea/NoMad/West Chelsea,Manhattan,Apr24
10001,Apr,25,288,685,42.04,87,Chelsea/NoMad/West Chelsea,Manhattan,Apr25
10001,Apr,26,375,851,44.07,-76,Chelsea/NoMad/West Chelsea,Manhattan,Apr26
10001,Apr,27,299,737,40.57,1,Chelsea/NoMad/West Chelsea,Manhattan,Apr27
10001,Apr,28,300,759,39.53,1,Chelsea/NoMad/West Chelsea,Manhattan,Apr28
10001,Apr,29,301,793,37.96,2,Chelsea/NoMad/West Chelsea,Manhattan,Apr29
10001,Apr,30,303,805,37.64,1,Chelsea/NoMad/West Chelsea,Manhattan,Apr30
10002,Apr,1,250,542,NA,67,Chinatown/Lower East Side,Manhattan,Apr01
