"","zipcode","neighborhood_name","borough_group","positive","covid_case_rate","pop_denominator","covid_death_count","covid_death_rate","percent_positive","day","total_covid_tests","newcases_june"
"1",10001,"Chelsea/NoMad/West Chelsea","Manhattan",361,1532.06,23563.03,21,89.12,17.38,"June01",NA,-1
"2",10001,"Chelsea/NoMad/West Chelsea","Manhattan",360,1527.82,23563.03,21,89.12,17.19,"June02",NA,2
"3",10001,"Chelsea/NoMad/West Chelsea","Manhattan",362,1536.31,23563.03,21,89.12,17.19,"June03",NA,1
"4",10001,"Chelsea/NoMad/West Chelsea","Manhattan",363,1540.55,23563.03,21,89.12,16.14,"June04",NA,3
"5",10001,"Chelsea/NoMad/West Chelsea","Manhattan",366,1553.28,23563.03,21,89.12,16.1,"June05",NA,0
"6",10001,"Chelsea/NoMad/West Chelsea","Manhattan",366,1553.28,23563.03,21,89.12,15.86,"June06",NA,0
"7",10001,"Chelsea/NoMad/West Chelsea","Manhattan",366,1553.28,23563.03,21,89.12,15.63,"June07",NA,0
"8",10001,"Chelsea/NoMad/West Chelsea","Manhattan",366,1553.28,23563.03,21,89.12,15.38,"June08",NA,2
"9",10001,"Chelsea/NoMad/West Chelsea","Manhattan",368,1561.77,23563.03,21,89.12,15.51,"June09",2373,4
"10",10001,"Chelsea/NoMad/West Chelsea","Manhattan",372,1578.74,23563.03,21,89.12,14.98,"June10",2484,2
"11",10001,"Chelsea/NoMad/West Chelsea","Manhattan",374,1587.23,23563.03,21,89.12,14.77,"June11",2533,2
"12",10001,"Chelsea/NoMad/West Chelsea","Manhattan",376,1595.72,23563.03,21,89.12,14.44,"June12",2604,1
"13",10001,"Chelsea/NoMad/West Chelsea","Manhattan",377,1599.96,23563.03,21,89.12,14.03,"June13",2688,0
"14",10001,"Chelsea/NoMad/West Chelsea","Manhattan",377,1599.96,23563.03,21,89.12,13.69,"June14",2754,0
"15",10001,"Chelsea/NoMad/West Chelsea","Manhattan",377,1599.96,23563.03,21,89.12,13.51,"June15",2790,0
"16",10001,"Chelsea/NoMad/West Chelsea","Manhattan",377,1599.96,23563.03,21,89.12,13.2,"June16",2855,2
"17",10001,"Chelsea/NoMad/West Chelsea","Manhattan",379,1608.45,23563.03,22,93.37,12.81,"June17",2959,0
"18",10001,"Chelsea/NoMad/West Chelsea","Manhattan",379,1608.45,23563.03,22,93.37,12.6,"June18",3007,0
"19",10001,"Chelsea/NoMad/West Chelsea","Manhattan",379,1608.45,23563.03,22,93.37,12.38,"June19",3061,2
"20",10001,"Chelsea/NoMad/West Chelsea","Manhattan",381,1616.94,23563.03,22,93.37,11.92,"June20",3196,0
"21",10001,"Chelsea/NoMad/West Chelsea","Manhattan",381,1616.94,23563.03,22,93.37,11.7,"June21",3256,0
"22",10001,"Chelsea/NoMad/West Chelsea","Manhattan",381,1616.94,23563.03,22,93.37,11.5,"June22",3312,0
"23",10001,"Chelsea/NoMad/West Chelsea","Manhattan",381,1616.94,23563.03,22,93.37,11.3,"June23",3372,1
"24",10001,"Chelsea/NoMad/West Chelsea","Manhattan",382,1621.18,23563.03,22,93.37,11.17,"June24",3420,1
"25",10001,"Chelsea/NoMad/West Chelsea","Manhattan",383,1625.43,23563.03,23,97.61,11.07,"June25",3459,0
"26",10001,"Chelsea/NoMad/West Chelsea","Manhattan",383,1625.43,23563.03,23,97.61,10.92,"June26",3506,3
