,,,,,Race and Ethnicity : Summarize
Topic: Health Behavior and Population
Subtopic: Social and Economic Conditions
Indicator Name: Race and Ethnicity
Indicator Description: 

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Percent Asian Alone,Percent Black Alone,Percent Hispanic Alone,Percent Non-White,Percent White Alone,Total Population,Notes Percent Asian Alone,Notes Percent Black Alone,Notes Percent Hispanic Alone,Notes Percent Non-White,Notes Percent White Alone,Notes Total Population,
2012-16,Citywide,New York City, New York City,1,Race and Ethnicity,13.6,22.2,29.1,67.7,32.3,"8,461,961",,,,,,,
2012-16,Borough,Bronx, Bronx,1,Race and Ethnicity,3.6,29.5,55.4,90.4,9.6,"1,436,785",,,,,,,
2012-16,Borough,Brooklyn, Brooklyn,2,Race and Ethnicity,11.6,30.9,19.4,64.2,35.8,"2,606,852",,,,,,,
2012-16,Borough,Manhattan, Manhattan,3,Race and Ethnicity,11.7,12.6,25.9,52.9,47.1,"1,634,989",,,,,,,
2012-16,Borough,Queens, Queens,4,Race and Ethnicity,24.6,17.3,28.0,74.4,25.6,"2,310,011",,,,,,,
2012-16,Borough,Staten Island, Staten Island,5,Race and Ethnicity,7.9,9.4,18.0,37.4,62.6,"473,324",,,,,,,
2012-16,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Race and Ethnicity,42.9,2.1,11.6,59.0,41.0,"90,165",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Race and Ethnicity,2.9,65.9,13.7,84.8,15.2,"333,870",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Race and Ethnicity,28.0,1.2,14.4,45.2,54.8,"205,714",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Race and Ethnicity,22.0,4.2,12.5,40.6,59.4,"339,383",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Race and Ethnicity,4.0,64.7,8.6,78.9,21.1,"208,063",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Race and Ethnicity,5.4,50.6,24.8,84.0,16.0,"180,601",,,,,,,
2012-16,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Race and Ethnicity,16.1,5.5,14.3,38.8,61.2,"148,912",,,,,,,
2012-16,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Race and Ethnicity,17.2,6.2,12.0,37.5,62.5,"284,325",,,,,,,
