"","date_of_interest","boro","cum_case_count","cum_hospitalized_count","cum_death_count"
"1",2020-02-29,"Brooklyn",0,4,0
"2",2020-03-01,"Brooklyn",0,4,0
"3",2020-03-02,"Brooklyn",0,8,0
"4",2020-03-03,"Brooklyn",0,13,0
"5",2020-03-04,"Brooklyn",1,18,0
"6",2020-03-05,"Brooklyn",4,23,0
"7",2020-03-06,"Brooklyn",5,26,0
"8",2020-03-07,"Brooklyn",7,32,0
"9",2020-03-08,"Brooklyn",12,41,0
"10",2020-03-09,"Brooklyn",28,56,0
"11",2020-03-10,"Brooklyn",39,69,0
"12",2020-03-11,"Brooklyn",70,85,0
"13",2020-03-12,"Brooklyn",166,115,0
"14",2020-03-13,"Brooklyn",333,154,0
"15",2020-03-14,"Brooklyn",497,192,1
"16",2020-03-15,"Brooklyn",930,236,1
"17",2020-03-16,"Brooklyn",1670,322,2
"18",2020-03-17,"Brooklyn",2455,421,6
"19",2020-03-18,"Brooklyn",3426,536,12
"20",2020-03-19,"Brooklyn",4632,685,18
"21",2020-03-20,"Brooklyn",5770,872,29
"22",2020-03-21,"Brooklyn",6325,1043,41
"23",2020-03-22,"Brooklyn",7081,1226,51
"24",2020-03-23,"Brooklyn",7990,1503,78
"25",2020-03-24,"Brooklyn",9202,1807,101
"26",2020-03-25,"Brooklyn",10442,2191,137
"27",2020-03-26,"Brooklyn",11819,2651,187
"28",2020-03-27,"Brooklyn",13251,3067,262
"29",2020-03-28,"Brooklyn",14113,3439,340
"30",2020-03-29,"Brooklyn",15260,3868,430
"31",2020-03-30,"Brooklyn",17021,4390,536
"32",2020-03-31,"Brooklyn",18540,4885,662
"33",2020-04-01,"Brooklyn",20149,5358,798
"34",2020-04-02,"Brooklyn",21791,5766,966
"35",2020-04-03,"Brooklyn",23239,6172,1107
"36",2020-04-04,"Brooklyn",24162,6517,1270
"37",2020-04-05,"Brooklyn",25312,6891,1437
"38",2020-04-06,"Brooklyn",26810,7360,1606
"39",2020-04-07,"Brooklyn",28230,7845,1785
"40",2020-04-08,"Brooklyn",29554,8272,1958
"41",2020-04-09,"Brooklyn",30927,8687,2148
"42",2020-04-10,"Brooklyn",32085,9031,2326
"43",2020-04-11,"Brooklyn",33215,9335,2486
"44",2020-04-12,"Brooklyn",33916,9598,2686
"45",2020-04-13,"Brooklyn",34981,9939,2845
"46",2020-04-14,"Brooklyn",36018,10215,2998
"47",2020-04-15,"Brooklyn",36901,10499,3129
"48",2020-04-16,"Brooklyn",37785,10746,3255
"49",2020-04-17,"Brooklyn",38744,11008,3373
"50",2020-04-18,"Brooklyn",39318,11185,3490
"51",2020-04-19,"Brooklyn",39954,11325,3608
"52",2020-04-20,"Brooklyn",40936,11538,3703
"53",2020-04-21,"Brooklyn",41836,11713,3794
"54",2020-04-22,"Brooklyn",42689,11873,3902
"55",2020-04-23,"Brooklyn",43480,12032,4008
"56",2020-04-24,"Brooklyn",44109,12174,4101
"57",2020-04-25,"Brooklyn",44513,12281,4177
"58",2020-04-26,"Brooklyn",44845,12370,4238
"59",2020-04-27,"Brooklyn",45455,12486,4326
"60",2020-04-28,"Brooklyn",46170,12611,4383
"61",2020-04-29,"Brooklyn",46852,12731,4455
"62",2020-04-30,"Brooklyn",47452,12829,4521
"63",2020-05-01,"Brooklyn",47950,12917,4576
"64",2020-05-02,"Brooklyn",48214,12979,4622
"65",2020-05-03,"Brooklyn",48462,13040,4668
"66",2020-05-04,"Brooklyn",48924,13131,4710
"67",2020-05-05,"Brooklyn",49358,13207,4759
"68",2020-05-06,"Brooklyn",49810,13284,4797
"69",2020-05-07,"Brooklyn",50212,13373,4842
"70",2020-05-08,"Brooklyn",50556,13451,4885
"71",2020-05-09,"Brooklyn",50675,13509,4913
"72",2020-05-10,"Brooklyn",50863,13555,4939
"73",2020-05-11,"Brooklyn",51273,13633,4971
"74",2020-05-12,"Brooklyn",51673,13694,5004
"75",2020-05-13,"Brooklyn",52036,13763,5027
"76",2020-05-14,"Brooklyn",52368,13826,5041
"77",2020-05-15,"Brooklyn",52627,13887,5067
"78",2020-05-16,"Brooklyn",52792,13933,5091
"79",2020-05-17,"Brooklyn",52929,13971,5110
"80",2020-05-18,"Brooklyn",53197,14032,5126
"81",2020-05-19,"Brooklyn",53526,14099,5142
"82",2020-05-20,"Brooklyn",53852,14150,5163
"83",2020-05-21,"Brooklyn",54197,14217,5178
"84",2020-05-22,"Brooklyn",54584,14280,5192
"85",2020-05-23,"Brooklyn",54747,14314,5212
"86",2020-05-24,"Brooklyn",54926,14348,5224
"87",2020-05-25,"Brooklyn",55101,14380,5238
"88",2020-05-26,"Brooklyn",55440,14414,5249
"89",2020-05-27,"Brooklyn",55700,14467,5260
"90",2020-05-28,"Brooklyn",55929,14515,5272
"91",2020-05-29,"Brooklyn",56102,14548,5288
"92",2020-05-30,"Brooklyn",56213,14579,5299
"93",2020-05-31,"Brooklyn",56293,14605,5310
"94",2020-06-01,"Brooklyn",56546,14642,5320
"95",2020-06-02,"Brooklyn",56743,14673,5326
"96",2020-06-03,"Brooklyn",56885,14712,5339
"97",2020-06-04,"Brooklyn",57017,14743,5349
"98",2020-06-05,"Brooklyn",57149,14763,5355
"99",2020-06-06,"Brooklyn",57208,14775,5365
"100",2020-06-07,"Brooklyn",57261,14791,5370
"101",2020-06-08,"Brooklyn",57373,14811,5383
"102",2020-06-09,"Brooklyn",57500,14828,5390
"103",2020-06-10,"Brooklyn",57599,14837,5401
"104",2020-06-11,"Brooklyn",57707,14850,5405
"105",2020-06-12,"Brooklyn",57831,14871,5411
"106",2020-06-13,"Brooklyn",57884,14879,5415
"107",2020-06-14,"Brooklyn",57939,14891,5422
"108",2020-06-15,"Brooklyn",58045,14910,5426
"109",2020-06-16,"Brooklyn",58180,14926,5431
"110",2020-06-17,"Brooklyn",58292,14936,5438
"111",2020-06-18,"Brooklyn",58405,14949,5442
"112",2020-06-19,"Brooklyn",58496,14971,5445
"113",2020-06-20,"Brooklyn",58541,14981,5449
"114",2020-06-21,"Brooklyn",58593,14996,5455
"115",2020-06-22,"Brooklyn",58702,15012,5462
"116",2020-06-23,"Brooklyn",58798,15024,5471
"117",2020-06-24,"Brooklyn",58899,15036,5482
"118",2020-06-25,"Brooklyn",58980,15044,5487
"119",2020-06-26,"Brooklyn",59074,15059,5490
"120",2020-06-27,"Brooklyn",59143,15077,5501
"121",2020-06-28,"Brooklyn",59201,15087,5502
"122",2020-06-29,"Brooklyn",59328,15105,5507
"123",2020-06-30,"Brooklyn",59462,15120,5512
"124",2020-07-01,"Brooklyn",59581,15129,5517
"125",2020-07-02,"Brooklyn",59708,15137,5521
"126",2020-07-03,"Brooklyn",59780,15151,5527
"127",2020-07-04,"Brooklyn",59803,15157,5533
"128",2020-07-05,"Brooklyn",59857,15160,5538
"129",2020-07-06,"Brooklyn",60000,15178,5542
"130",2020-07-07,"Brooklyn",60122,15184,5546
"131",2020-07-08,"Brooklyn",60244,15196,5551
"132",2020-07-09,"Brooklyn",60348,15203,5555
"133",2020-07-10,"Brooklyn",60438,15218,5558
"134",2020-07-11,"Brooklyn",60510,15229,5560
"135",2020-07-12,"Brooklyn",60566,15234,5564
"136",2020-07-13,"Brooklyn",60686,15248,5566
"137",2020-07-14,"Brooklyn",60797,15254,5570
"138",2020-07-15,"Brooklyn",60946,15265,5572
"139",2020-07-16,"Brooklyn",61036,15272,5575
"140",2020-07-17,"Brooklyn",61137,15283,5576
"141",2020-07-18,"Brooklyn",61194,15288,5581
"142",2020-07-19,"Brooklyn",61234,15296,5584
"143",2020-07-20,"Brooklyn",61319,15304,5588
"144",2020-07-21,"Brooklyn",61400,15311,5593
"145",2020-07-22,"Brooklyn",61492,15323,5594
"146",2020-07-23,"Brooklyn",61575,15333,5599
"147",2020-07-24,"Brooklyn",61642,15343,5601
"148",2020-07-25,"Brooklyn",61676,15350,5602
"149",2020-07-26,"Brooklyn",61715,15353,5606
"150",2020-07-27,"Brooklyn",61798,15363,5608
"151",2020-07-28,"Brooklyn",61894,15375,5609
"152",2020-07-29,"Brooklyn",61961,15384,5610
"153",2020-07-30,"Brooklyn",62045,15395,5612
"154",2020-07-31,"Brooklyn",62113,15399,5613
"155",2020-08-01,"Brooklyn",62160,15406,5616
"156",2020-08-02,"Brooklyn",62197,15412,5618
"157",2020-08-03,"Brooklyn",62273,15420,5618
"158",2020-08-04,"Brooklyn",62315,15427,5620
"159",2020-08-05,"Brooklyn",62377,15433,5620
"160",2020-08-06,"Brooklyn",62430,15441,5621
"161",2020-08-07,"Brooklyn",62479,15446,5621
"162",2020-08-08,"Brooklyn",62502,15449,5621
"163",2020-08-09,"Brooklyn",62515,15451,5621
"164",2020-08-10,"Brooklyn",62517,15451,5621
"165",2020-02-29,"Bronx",0,3,0
"166",2020-03-01,"Bronx",0,4,0
"167",2020-03-02,"Bronx",0,13,0
"168",2020-03-03,"Bronx",1,20,0
"169",2020-03-04,"Bronx",1,26,0
"170",2020-03-05,"Bronx",1,28,0
"171",2020-03-06,"Bronx",3,33,0
"172",2020-03-07,"Bronx",3,35,0
"173",2020-03-08,"Bronx",7,37,0
"174",2020-03-09,"Bronx",11,48,0
"175",2020-03-10,"Bronx",19,56,0
"176",2020-03-11,"Bronx",38,76,0
"177",2020-03-12,"Bronx",67,92,0
"178",2020-03-13,"Bronx",146,126,0
"179",2020-03-14,"Bronx",232,152,0
"180",2020-03-15,"Bronx",351,186,1
"181",2020-03-16,"Bronx",655,251,4
"182",2020-03-17,"Bronx",998,316,5
"183",2020-03-18,"Bronx",1481,414,6
"184",2020-03-19,"Bronx",2104,534,10
"185",2020-03-20,"Bronx",2827,646,23
"186",2020-03-21,"Bronx",3313,798,35
"187",2020-03-22,"Bronx",3806,961,47
"188",2020-03-23,"Bronx",4538,1167,59
"189",2020-03-24,"Bronx",5464,1420,73
"190",2020-03-25,"Bronx",6527,1708,104
"191",2020-03-26,"Bronx",7526,2012,141
"192",2020-03-27,"Bronx",8614,2314,176
"193",2020-03-28,"Bronx",9376,2616,238
"194",2020-03-29,"Bronx",10075,2925,293
"195",2020-03-30,"Bronx",11386,3242,368
"196",2020-03-31,"Bronx",12670,3599,465
"197",2020-04-01,"Bronx",13908,3944,558
"198",2020-04-02,"Bronx",15194,4287,655
"199",2020-04-03,"Bronx",16643,4646,771
"200",2020-04-04,"Bronx",17654,4931,878
"201",2020-04-05,"Bronx",18476,5249,1001
"202",2020-04-06,"Bronx",19986,5633,1113
"203",2020-04-07,"Bronx",21451,5967,1228
"204",2020-04-08,"Bronx",22753,6340,1342
"205",2020-04-09,"Bronx",24036,6643,1450
"206",2020-04-10,"Bronx",25266,6946,1568
"207",2020-04-11,"Bronx",26262,7211,1701
"208",2020-04-12,"Bronx",27024,7450,1811
"209",2020-04-13,"Bronx",27716,7730,1933
"210",2020-04-14,"Bronx",28791,7948,2044
"211",2020-04-15,"Bronx",29857,8169,2138
"212",2020-04-16,"Bronx",30793,8368,2224
"213",2020-04-17,"Bronx",31705,8560,2312
"214",2020-04-18,"Bronx",32258,8720,2374
"215",2020-04-19,"Bronx",32790,8874,2452
"216",2020-04-20,"Bronx",33770,9042,2530
"217",2020-04-21,"Bronx",34408,9192,2600
"218",2020-04-22,"Bronx",35332,9323,2667
"219",2020-04-23,"Bronx",36065,9453,2726
"220",2020-04-24,"Bronx",36644,9569,2788
"221",2020-04-25,"Bronx",37058,9673,2845
"222",2020-04-26,"Bronx",37254,9760,2899
"223",2020-04-27,"Bronx",37806,9876,2953
"224",2020-04-28,"Bronx",38475,9986,3009
"225",2020-04-29,"Bronx",39032,10083,3049
"226",2020-04-30,"Bronx",39516,10156,3094
"227",2020-05-01,"Bronx",39962,10251,3139
"228",2020-05-02,"Bronx",40224,10316,3188
"229",2020-05-03,"Bronx",40375,10374,3215
"230",2020-05-04,"Bronx",40724,10443,3250
"231",2020-05-05,"Bronx",41018,10529,3277
"232",2020-05-06,"Bronx",41297,10601,3306
"233",2020-05-07,"Bronx",41594,10661,3334
"234",2020-05-08,"Bronx",41846,10731,3356
"235",2020-05-09,"Bronx",42021,10778,3377
"236",2020-05-10,"Bronx",42096,10815,3390
"237",2020-05-11,"Bronx",42323,10869,3417
"238",2020-05-12,"Bronx",42678,10922,3437
"239",2020-05-13,"Bronx",43140,10975,3453
"240",2020-05-14,"Bronx",43396,11022,3464
"241",2020-05-15,"Bronx",43578,11079,3480
"242",2020-05-16,"Bronx",43687,11109,3506
"243",2020-05-17,"Bronx",43743,11134,3525
"244",2020-05-18,"Bronx",43929,11168,3535
"245",2020-05-19,"Bronx",44106,11208,3546
"246",2020-05-20,"Bronx",44378,11246,3561
"247",2020-05-21,"Bronx",44571,11278,3573
"248",2020-05-22,"Bronx",44830,11320,3585
"249",2020-05-23,"Bronx",44918,11347,3602
"250",2020-05-24,"Bronx",45016,11371,3615
"251",2020-05-25,"Bronx",45115,11403,3623
"252",2020-05-26,"Bronx",45387,11444,3633
"253",2020-05-27,"Bronx",45561,11467,3642
"254",2020-05-28,"Bronx",45675,11489,3654
"255",2020-05-29,"Bronx",45834,11532,3660
"256",2020-05-30,"Bronx",45910,11558,3673
"257",2020-05-31,"Bronx",45940,11575,3679
"258",2020-06-01,"Bronx",46095,11602,3682
"259",2020-06-02,"Bronx",46208,11626,3689
"260",2020-06-03,"Bronx",46311,11645,3699
"261",2020-06-04,"Bronx",46438,11673,3703
"262",2020-06-05,"Bronx",46542,11690,3712
"263",2020-06-06,"Bronx",46594,11707,3724
"264",2020-06-07,"Bronx",46637,11727,3731
"265",2020-06-08,"Bronx",46735,11744,3741
"266",2020-06-09,"Bronx",46818,11761,3747
"267",2020-06-10,"Bronx",46893,11775,3755
"268",2020-06-11,"Bronx",46959,11790,3761
"269",2020-06-12,"Bronx",47035,11804,3766
"270",2020-06-13,"Bronx",47080,11813,3770
"271",2020-06-14,"Bronx",47107,11825,3778
"272",2020-06-15,"Bronx",47183,11840,3783
"273",2020-06-16,"Bronx",47262,11853,3787
"274",2020-06-17,"Bronx",47330,11866,3789
"275",2020-06-18,"Bronx",47391,11873,3790
"276",2020-06-19,"Bronx",47472,11884,3793
"277",2020-06-20,"Bronx",47525,11891,3798
