zipcode,neighborhood_name,borough_group,positive,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,total_covid_tests,day,newcases
10001,Chelsea/NoMad/West Chelsea,Manhattan,390,1655.14,23563.03,23,97.61,10.17,3835,2020-07-01,3
10002,Chinatown/Lower East Side,Manhattan,1100,1433.12,76755.41,158,205.85,14.08,7811,2020-07-01,4
10003,East Village/Gramercy/Greenwich Village,Manhattan,472,877.3,53801.62,33,61.34,7.82,6037,2020-07-01,1
10004,Financial District,Manhattan,32,876.57,3650.61,1,27.39,8.12,394,2020-07-01,0
10005,Financial District,Manhattan,66,786.08,8396.11,2,23.82,7.42,890,2020-07-01,1
10006,Financial District,Manhattan,29,838.69,3457.77,0,0,7.11,408,2020-07-01,0
10007,TriBeCa,Manhattan,62,751.54,8249.73,3,36.36,6.45,961,2020-07-01,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,726,1235.79,58747.99,68,115.75,10.07,7212,2020-07-01,2
10010,Flatiron/Gramercy/Kips Bay,Manhattan,277,855.68,32371.86,19,58.69,6.52,4246,2020-07-01,3
10011,Chelsea,Manhattan,537,1084.84,49500.52,40,80.81,8.58,6262,2020-07-01,0
10012,Greenwich Village/SoHo,Manhattan,173,721.4,23981.2,9,37.53,7.13,2428,2020-07-01,2
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,277,954.15,29031.09,21,72.34,7.76,3569,2020-07-01,0
10014,Hudson Square/Meatpacking District/West Village,Manhattan,320,1030.82,31043.16,26,83.75,7.75,4131,2020-07-01,1
10016,Kips Bay/Murray Hill/NoMad,Manhattan,733,1395.54,52524.35,49,93.29,9.67,7580,2020-07-01,0
10017,East Midtown/Murray Hill,Manhattan,148,917.7,16127.22,7,43.4,7.44,1988,2020-07-01,0
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,224,2350.12,9531.44,4,41.97,10.45,2144,2020-07-01,3
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,628,1545.6,40631.45,42,103.37,10.13,6198,2020-07-01,2
