"","zipcode","total","total_1_person_household","total_2_person_household","total_3_person_household","total_4_person_household","total_5_person_household","total_6_person_household","total_7_or_more_person_household"
"1",10001,11031,5895,3444,978,485,133,67,29
"2",10002,32925,11697,9679,4698,3341,1773,847,890
"3",10003,28559,16068,8801,2352,1036,227,51,24
"4",10004,1692,803,571,188,106,16,6,2
"5",10005,4251,2127,1576,387,133,23,4,1
"6",10006,1791,888,672,165,51,10,5,0
"7",10007,2840,1052,964,414,320,80,10,0
"8",10009,30182,12834,9911,4289,2009,675,264,200
"9",10010,16556,8814,5320,1525,700,140,41,16
"10",10011,30294,17717,8948,2062,1132,294,86,55
"11",10012,13338,7018,4362,1125,600,159,44,30
"12",10013,12096,4742,3872,1685,1183,375,141,98
"13",10014,19790,11606,5957,1345,650,180,36,16
"14",10016,32173,17570,10630,2676,1000,210,60,27
"15",10017,10763,6673,3020,705,286,61,13,5
"16",10018,3065,1732,912,274,94,35,15,3
"17",10019,25905,14510,8163,2021,872,208,83,48
"18",10021,24734,13473,7395,1982,1403,389,73,19
"19",10022,19253,10857,6125,1311,774,145,32,9
"20",10023,34383,18660,10115,2998,1938,528,104,40
"21",10024,30836,14834,9564,3106,2365,733,163,71
"22",10025,44432,19792,13710,5682,3538,1138,326,246
"23",10026,14199,5403,4044,2151,1403,675,268,255
"24",10027,22839,8664,6794,3398,2158,1058,411,356
"25",10028,25158,12988,7623,2215,1716,481,115,20
"26",10029,29378,10151,8214,4730,3109,1687,796,691
"27",10030,11395,4745,2819,1636,1133,560,254,248
"28",10031,20638,6426,5235,3445,2398,1452,803,879
"29",10032,20228,5800,5148,3505,2558,1514,818,885
"30",10033,18975,5115,5156,3301,2463,1426,716,798
"31",10034,15007,4634,4222,2551,1764,957,473,406
"32",10035,12775,4947,3195,1855,1229,782,382,385
"33",10036,15183,8919,4486,1148,445,122,30,33
"34",10037,8885,4477,2379,1052,580,244,105,48
"35",10038,9410,3777,3544,1152,610,188,65,74
"36",10039,10070,3481,2877,1679,1035,523,258,217
"37",10040,15718,4886,4214,2620,2001,1044,497,456
"38",10044,4501,1704,1419,677,464,149,55,33
"39",10065,18544,9784,5882,1537,1003,270,50,18
"40",10069,2696,1169,918,310,240,51,7,1
"41",10075,14622,7860,4344,1198,925,244,44,7
"42",10128,32306,15431,10319,3515,2188,679,138,36
"43",10280,4053,1688,1433,544,302,67,15,4
"44",10282,2215,775,720,376,288,50,4,2
"45",10301,14719,4952,4073,2211,1771,907,416,389
"46",10302,6002,1397,1362,981,962,613,309,378
"47",10303,8239,1626,1869,1628,1350,889,452,425
"48",10304,14438,3643,3696,2653,2176,1218,575,477
"49",10305,15145,3934,4121,2720,2459,1155,448,308
"50",10306,20856,5242,6027,3718,3536,1561,507,265
"51",10307,4925,1126,1240,857,974,494,167,67
"52",10308,10142,2303,3018,1836,1896,774,220,95
"53",10309,10962,2306,2848,2010,2307,1006,343,142
"54",10310,8361,1961,2058,1458,1401,824,326,333
"55",10312,21018,4279,5960,4043,4048,1845,597,246
"56",10314,30709,7238,9014,5563,4952,2420,897,625
"57",10451,17106,5553,4086,2882,2146,1249,622,568
"58",10452,24796,5929,5460,4865,3964,2402,1116,1060
"59",10453,25307,5878,5641,5016,4030,2447,1196,1099
"60",10454,11978,3131,2597,2166,1639,1135,627,683
"61",10455,12880,3237,2888,2376,1903,1254,645,577
"62",10456,28122,7034,6276,5314,4160,2709,1362,1267
"63",10457,22873,5782,5051,4293,3536,2139,1072,1000
"64",10458,26201,6867,5923,4934,3920,2308,1154,1095
"65",10459,15398,3810,3306,3057,2392,1476,709,648
"66",10460,19512,5173,4373,3808,2887,1728,802,741
"67",10461,19772,6624,5480,3233,2507,1171,438,319
