"","zipcode","total","total_white_alone","total_black_or_african_american_alone","total_american_indian_and_alaska_native_alone","total_asian_alone","total_native_hawaiian_and_other_pacific_islander_alone","total_some_other_race_alone","total_two_or_more_races"
"1",10001,21102,13722,1897,75,3539,5,1063,801
"2",10002,81410,25506,6836,374,37914,32,7997,2751
"3",10003,56024,42794,1977,101,8088,24,1256,1784
"4",10004,3089,2167,97,8,655,1,46,115
"5",10005,7135,5001,242,10,1480,2,160,240
"6",10006,3011,2088,137,4,591,0,97,94
"7",10007,6988,5281,471,5,878,6,90,257
"8",10009,61347,38077,6036,304,8377,33,5946,2574
"9",10010,31834,23493,1877,69,4586,15,779,1015
"10",10011,50984,40922,2348,110,4517,24,1496,1567
"11",10012,24090,18203,596,30,3985,7,534,735
"12",10013,27700,15407,1040,30,10006,4,489,724
"13",10014,31959,28094,660,54,1874,10,393,874
"14",10016,54183,40517,2176,91,8998,26,1083,1292
"15",10017,16575,12503,544,15,2930,9,193,381
"16",10018,5229,2979,397,17,1343,1,325,167
"17",10019,42870,29712,2364,127,7166,25,1992,1484
"18",10021,43631,38391,791,54,3182,13,413,787
"19",10022,31924,27590,592,31,2872,17,303,519
"20",10023,60998,49739,2854,124,5471,17,1350,1443
"21",10024,59283,49185,3381,128,3258,24,1700,1607
"22",10025,94600,61358,13545,421,7803,54,7265,4154
"23",10026,34003,7473,19960,266,1459,38,3101,1706
"24",10027,59707,18562,26420,459,4518,28,6813,2907
"25",10028,45141,39596,767,35,3331,17,478,917
"26",10029,76003,24775,23910,830,5241,78,17369,3800
"27",10030,26999,2958,19399,244,423,24,2887,1064
"28",10031,56438,14020,18908,752,1384,38,17517,3819
"29",10032,57331,16205,12662,901,1987,40,21256,4280
"30",10033,53926,22900,5246,728,1253,35,19863,3901
"31",10034,38908,14560,5000,601,886,29,14961,2871
"32",10035,33969,8517,14795,439,1062,36,7333,1787
"33",10036,24711,15736,2301,91,4224,17,1436,906
"34",10037,17416,1465,13451,115,299,5,1376,705
"35",10038,20300,10819,1630,45,6068,14,1021,703
"36",10039,24527,2636,17120,173,442,7,3204,945
"37",10040,41905,16204,4623,535,1141,23,16172,3207
"38",10044,11661,5952,2482,26,2125,50,483,543
"39",10065,32270,27771,566,24,2878,4,410,617
"40",10069,5199,3750,186,3,1048,0,66,146
"41",10075,26121,22970,521,24,1844,4,253,505
"42",10128,60453,48582,2854,94,5817,21,1468,1617
"43",10280,7853,5464,235,9,1752,6,109,278
"44",10282,4783,3756,115,2,645,2,89,174
"45",10301,39706,21597,9762,232,2651,30,3741,1693
"46",10302,19088,9367,4010,155,814,27,3753,962
"47",10303,26337,8918,9882,236,2079,11,3996,1215
"48",10304,42193,20187,12169,271,4028,16,4121,1401
"49",10305,41749,31831,1828,119,4558,30,2348,1035
"50",10306,55909,49134,1181,155,2543,11,1834,1051
"51",10307,14096,13170,86,24,350,5,269,192
"52",10308,27357,25604,141,31,798,11,422,350
"53",10309,32519,29611,769,18,1243,9,514,355
"54",10310,24962,13507,5814,158,1388,2,3068,1025
"55",10312,59304,53858,575,86,3213,20,773,779
"56",10314,85510,64893,3640,210,11499,41,3167,2060
"57",10451,45713,8698,19826,736,740,38,12939,2736
"58",10452,75371,14470,27184,1211,1114,56,26608,4728
"59",10453,78309,13623,30028,1345,1068,85,27328,4832
"60",10454,37337,8954,11809,865,217,28,13220,2244
"61",10455,39665,9865,12119,709,252,27,14200,2493
"62",10456,86547,13330,41893,1305,895,235,23842,5047
"63",10457,70496,14296,26988,1159,1164,82,22520,4287
"64",10458,79492,23623,20629,1314,3180,73,26010,4663
"65",10459,47308,11017,16735,906,394,50,14975,3231
"66",10460,57311,14145,20860,985,836,58,17172,3255
"67",10461,50502,29872,4335,332,5323,24,8684,1932
"68",10462,75784,24489,22417,742,8231,58,15748,4099
"69",10463,67970,34861,11200,552,2992,34,14966,3365
"70",10464,4534,3855,176,23,140,7,230,103
"71",10465,42230,29223,4536,268,1300,26,5499,1378
"72",10466,67813,6808,49304,578,1558,50,7171,2344
"73",10467,97060,25817,37745,1182,6252,61,21202,4801
"74",10468,76103,18858,19724,1280,3541,52,27494,5154
"75",10469,66631,15090,39318,426,2742,40,6876,2139
"76",10470,15293,7411,5477,120,553,4,1206,522
"77",10471,22922,16706,2430,79,1354,5,1600,748
"78",10472,66358,16515,20449,991,4064,81,20311,3947
"79",10473,58519,13707,25819,716,972,65,13935,3305
"80",10474,12281,2832,4231,197,128,11,4040,842
"81",10475,40931,8822,26034,213,527,18,3753,1564
"82",11004,14016,7004,887,53,5109,5,406,552
"83",11101,25484,10840,5299,179,4083,18,3945,1120
"84",11102,34133,19025,3347,302,5223,20,4815,1401
"85",11103,38780,26325,740,220,5520,20,4544,1411
"86",11104,27232,14769,591,179,7074,9,3397,1213
"87",11105,36688,27698,797,98,4119,21,2655,1300
"88",11106,38875,21205,3469,222,7449,17,4895,1618
"89",11109,3523,2349,156,5,768,4,97,144
"90",11201,51128,34316,7741,154,5036,29,1921,1931
"91",11203,76174,2703,69435,221,956,27,1219,1613
"92",11204,78134,51867,598,141,20594,39,3650,1245
"93",11205,40366,18437,13899,238,2050,41,4011,1690
"94",11206,81677,34534,23108,736,4522,52,15393,3332
"95",11207,93386,10638,62417,841,1069,127,14606,3688
"96",11208,94469,14798,45147,1131,7878,95,20721,4699
"97",11209,68853,53085,1485,201,7957,29,3925,2171
"98",11210,62008,20648,35821,200,2175,28,1749,1387
"99",11211,90117,68534,4496,520,3445,54,10276,2792
"100",11212,84500,3822,71964,483,606,38,5315,2272
"101",11213,63767,12493,46454,250,554,22,2414,1580
"102",11214,88630,51011,1016,281,28657,70,5885,1710
"103",11215,63488,48504,3852,234,4040,31,4046,2781
"104",11216,54316,6920,41543,241,1634,23,2088,1867
"105",11217,35881,21302,8201,162,2184,13,2321,1698
"106",11218,75220,43160,7448,460,14052,22,7141,2937
"107",11219,92221,62915,1121,224,20972,54,5437,1498
"108",11220,99598,30492,2975,1045,41386,27,20069,3604
"109",11221,78895,13776,44774,825,1629,69,14517,3305
"110",11222,36934,30855,807,111,1813,19,2306,1023
"111",11223,78731,52060,3287,288,16631,24,4838,1603
"112",11224,47621,28255,11802,249,2853,13,3215,1234
"113",11225,56829,9400,42766,238,850,24,1884,1667
"114",11226,101572,10020,76853,550,3014,40,7839,3256
"115",11228,41788,28473,284,80,10214,15,2003,719
"116",11229,80018,57025,4383,146,14596,15,2407,1446
"117",11230,86408,61656,7239,313,11194,23,4308,1675
"118",11231,33336,22953,5015,178,1413,15,2434,1328
"119",11232,28265,12091,2068,581,4568,28,7270,1659
"120",11233,67053,3629,56838,470,575,17,3594,1930
"121",11234,87757,41975,37024,252,4109,20,2439,1938
"122",11235,79132,61763,1727,245,10152,11,3774,1460
"123",11236,93877,7015,79835,312,2361,14,2407,1933
"124",11237,49896,18040,5423,696,3457,40,19238,3002
"125",11238,49262,18680,23593,173,2689,33,1842,2252
"126",11239,13393,4196,7644,54,391,2,727,379
"127",11354,54878,15375,2105,137,32240,65,3383,1573
"128",11355,85871,14201,2838,234,60867,26,5108,2597
"129",11356,23438,11938,608,87,6389,7,3515,894
"130",11357,39150,29814,376,33,7158,3,1052,714
"131",11358,37546,18838,414,47,15053,4,2237,953
"132",11360,18884,13408,289,12,4458,1,424,292
"133",11361,28606,15570,1117,23,10120,7,1132,637
"134",11362,17823,10136,281,17,6673,2,356,358
"135",11363,6988,4419,76,10,2185,0,163,135
"136",11364,34555,15963,786,25,16258,7,817,699
"137",11365,42252,17213,3734,121,17605,17,2093,1469
"138",11366,13532,6227,859,39,5472,12,533,390
"139",11367,41047,24397,4106,106,8570,16,2185,1667
"140",11368,109931,35181,12793,1675,11006,43,42535,6698
"141",11369,38615,13277,7653,444,3411,27,11596,2207
"142",11370,39688,16550,7044,266,6719,37,7745,1327
"143",11372,66636,30546,2094,564,13664,28,16286,3454
"144",11373,100820,26937,2098,763,47481,55,18929,4557
"145",11374,43600,26838,1306,113,11652,20,2223,1448
"146",11375,68733,44925,2004,112,17378,26,2206,2082
"147",11377,89830,34036,3060,799,32899,36,14604,4396
"148",11378,34981,25712,551,139,3634,17,4018,910
"149",11379,34821,28929,363,59,2839,10,1989,632
"150",11385,98592,64585,3310,722,6397,60,19680,3838
"151",11411,18556,388,17320,57,126,5,245,415
"152",11412,34882,487,32100,126,365,10,843,951
"153",11413,38912,879,35725,149,343,9,835,972
"154",11414,26148,22754,528,53,942,7,1334,530
"155",11415,19341,12041,1415,65,3241,13,1655,911
"156",11416,24861,7899,2808,361,5718,27,6061,1987
"157",11417,28967,11888,2589,392,5894,37,5920,2247
"158",11418,36256,13398,3955,445,7547,74,7939,2898
"159",11419,47211,5825,8585,908,15658,99,9497,6639
"160",11420,44354,6902,14452,749,8921,92,8473,4765
"161",11421,39127,16907,3047,504,6153,26,9921,2569
"162",11422,30425,2208,25474,131,643,6,1100,863
"163",11423,29987,4587,12702,350,5902,45,4041,2360
"164",11426,17590,8141,992,69,6296,4,1198,890
"165",11427,23593,6630,5660,146,7592,51,2271,1243
"166",11428,19168,4373,4683,173,5120,41,3086,1692
"167",11429,25105,1529,20289,144,840,34,1350,919
"168",11432,60809,14496,12023,614,21601,62,8336,3677
"169",11433,32687,1719,24602,401,1637,26,2961,1341
"170",11434,59129,1709,52244,273,906,26,2218,1753
"171",11435,53687,14171,14858,627,10565,120,9804,3542
"172",11436,17949,693,13590,207,1159,18,1371,911
"173",11691,60035,18605,30103,475,1197,62,7220,2373
"174",11692,18540,3049,12304,117,519,9,1829,713
"175",11693,11916,6601,3673,62,372,1,818,389
"176",11694,20408,16829,1872,39,513,10,784,361
"177",11697,4079,4004,5,5,24,1,15,25
