"","zipcode","sex","under_5","5_to_9","10_to_14","15_to_17","18_and_19","20","21","22_to_24","25_to_29","30_to_34","35_to_39","40_to_44","45_to_49","50_to_54","55_to_59","60_and_61","62_to_64","65_and_66","67_to_69","70_to_74","75_to_79","80_to_84","85_and_over"
"1",10001,"male",336,240,240,155,212,121,136,618,1309,1150,935,904,864,723,669,220,286,155,183,263,199,151,115
"2",10002,"male",1907,1822,1883,1224,910,498,562,1938,3649,3274,2876,2654,2685,2662,2455,932,1099,594,797,1422,1180,825,722
"3",10003,"male",689,468,342,235,2164,912,665,1781,3810,3180,2317,1865,1691,1471,1435,539,734,396,478,595,416,306,261
"4",10004,"male",111,57,17,18,12,12,16,129,278,262,198,146,97,83,62,21,32,12,15,16,9,3,4
"5",10005,"male",115,43,26,14,13,16,54,451,973,713,396,235,167,98,64,22,15,8,9,7,1,1,2
"6",10006,"male",39,14,22,5,11,17,23,198,408,305,194,93,69,40,41,16,8,2,6,5,1,2,0
"7",10007,"male",319,166,82,29,24,28,38,169,432,648,663,490,305,200,154,41,53,24,31,28,18,10,6
"8",10009,"male",1062,974,1067,673,554,416,500,2258,4172,2879,2084,2011,1995,1879,1689,593,722,379,567,753,514,352,340
"9",10010,"male",534,304,267,154,505,388,288,953,2301,1800,1235,1046,930,894,786,334,431,245,300,362,290,195,213
"10",10011,"male",919,594,455,284,477,195,168,869,2679,3190,2703,2757,2540,2152,1674,603,886,476,597,700,497,348,235
"11",10012,"male",420,265,238,159,119,128,120,762,2016,1562,1159,863,757,615,689,266,351,194,282,353,268,145,109
"12",10013,"male",772,616,450,239,217,274,268,641,1426,1368,1315,1204,1067,939,876,387,379,216,274,373,264,228,158
"13",10014,"male",533,371,275,145,102,106,124,595,2166,2115,1640,1393,1308,1092,994,338,512,314,371,436,338,213,150
"14",10016,"male",887,456,354,187,138,122,142,2566,4882,3289,2293,1675,1512,1333,1249,473,640,338,475,657,487,358,301
"15",10017,"male",266,125,82,64,18,21,30,565,1218,1023,677,527,485,463,433,202,268,156,218,253,174,127,90
"16",10018,"male",57,39,46,25,47,29,52,233,497,353,353,287,224,160,128,40,51,26,38,43,44,20,3
"17",10019,"male",775,376,350,235,180,109,111,1296,3065,3077,2225,1836,1582,1335,1218,476,624,329,483,607,502,342,246
"18",10021,"male",1230,808,607,281,109,73,84,597,2040,2136,1514,1353,1101,1131,1055,453,728,407,597,843,761,558,428
"19",10022,"male",596,371,269,130,158,49,44,535,1485,1394,1169,980,954,935,1032,406,670,368,571,761,700,519,391
"20",10023,"male",1711,1050,815,477,477,225,193,840,2383,2888,2484,2190,1970,1891,1758,791,981,588,828,1020,834,693,491
"21",10024,"male",1827,1304,1060,617,270,128,114,735,2195,2434,2229,2330,2063,1939,2023,757,1089,666,854,980,777,578,467
"22",10025,"male",2232,1857,1710,1150,811,826,747,2314,4162,3504,3263,3040,3132,3183,3022,1094,1427,818,1126,1444,1081,735,613
"23",10026,"male",962,975,993,583,440,231,234,802,1491,1397,1286,1424,1269,1180,840,289,313,185,231,326,172,166,88
"24",10027,"male",1539,1447,1468,1042,1504,676,607,2021,3176,2382,1741,1885,1793,1660,1351,459,602,343,412,543,352,249,213
"25",10028,"male",1092,918,802,454,154,83,72,791,2268,2025,1544,1495,1381,1307,1161,484,712,461,628,775,626,431,297
"26",10029,"male",2362,2269,2438,1735,1231,653,641,2236,3496,2840,2358,2137,2252,1957,1541,616,733,425,618,818,641,459,352
"27",10030,"male",862,825,887,631,412,207,212,648,1113,992,831,989,926,879,681,183,272,160,213,265,186,101,85
"28",10031,"male",1553,1492,1558,1187,898,508,553,1870,3070,2478,2063,2006,1875,1634,1392,493,631,349,425,613,406,228,209
"29",10032,"male",1581,1379,1529,1139,900,457,482,1913,3087,2334,1878,1952,1865,1709,1533,590,651,347,526,714,498,354,241
"30",10033,"male",1532,1299,1410,1057,919,681,690,1860,2525,2152,1872,1891,1775,1641,1461,538,701,381,491,610,423,323,229
"31",10034,"male",1210,1030,1107,760,527,258,273,945,1643,1572,1447,1449,1282,1237,1130,405,457,262,318,414,258,174,102
"32",10035,"male",1063,992,1088,757,603,315,333,895,1516,1351,1248,1260,1341,1164,904,279,358,199,271,437,296,194,150
"33",10036,"male",339,232,185,133,117,103,118,933,2068,1846,1374,1215,1202,1073,874,301,423,205,237,340,220,161,87
"34",10037,"male",424,434,478,307,219,105,111,359,611,522,461,521,528,488,380,171,203,127,184,228,169,122,155
"35",10038,"male",404,296,293,171,385,186,153,900,1483,1012,726,571,511,436,404,183,214,112,145,226,222,183,194
"36",10039,"male",856,873,817,593,379,198,205,561,879,834,789,824,797,676,457,164,186,129,154,234,169,110,108
"37",10040,"male",1257,988,1138,796,572,333,297,1083,1735,1596,1480,1399,1385,1273,1127,381,544,252,334,500,315,280,261
"38",10044,"male",312,195,234,166,96,59,39,229,510,550,420,415,450,388,485,174,217,111,153,183,129,116,79
"39",10065,"male",904,554,370,191,111,49,59,496,1518,1628,1244,1040,965,839,850,333,520,307,450,610,581,393,348
"40",10069,"male",239,126,50,33,13,7,11,65,221,347,374,221,186,121,126,41,66,37,51,51,27,23,15
"41",10075,"male",641,560,437,203,73,40,53,418,1048,1148,869,856,791,670,689,268,476,233,365,482,361,294,230
"42",10128,"male",1585,1244,1046,607,317,166,174,1313,3223,2872,2241,2022,1908,1656,1570,578,924,470,683,882,631,423,341
"43",10280,"male",295,167,107,66,22,10,12,123,395,497,517,389,287,263,206,93,85,49,51,57,35,34,26
"44",10282,"male",348,110,61,27,11,1,7,68,229,417,379,244,134,93,62,21,28,7,10,14,9,10,41
"45",10301,"male",1287,1201,1203,765,679,383,365,845,1486,1321,1290,1294,1464,1428,1295,440,589,317,393,498,324,230,182
"46",10302,"male",733,740,755,483,342,150,146,504,791,687,644,704,657,604,518,194,236,111,127,166,140,104,69
"47",10303,"male",1027,1017,1204,738,456,248,213,558,934,784,867,951,921,860,625,207,253,125,178,183,128,80,68
"48",10304,"male",1403,1451,1543,1089,668,348,335,915,1376,1222,1227,1343,1477,1461,1237,451,581,311,371,516,372,282,227
"49",10305,"male",1244,1275,1248,811,508,311,293,812,1479,1392,1477,1509,1602,1595,1401,458,631,326,406,567,439,301,207
"50",10306,"male",1545,1683,1768,1142,700,350,354,1079,1612,1529,1752,1949,2181,2150,1854,661,954,459,611,810,689,490,366
"51",10307,"male",423,518,555,323,197,99,81,289,404,406,520,611,629,553,451,150,170,92,151,127,109,73,50
"52",10308,"male",765,819,920,590,374,182,165,470,799,781,880,989,1012,1068,907,363,469,216,381,429,335,223,151
"53",10309,"male",985,1189,1077,693,393,204,218,705,1123,1113,1262,1373,1399,1321,991,357,472,241,347,369,265,155,100
"54",10310,"male",958,1045,1002,627,384,174,189,529,781,824,757,807,873,898,709,237,331,146,183,232,150,131,91
"55",10312,"male",1712,1861,1931,1276,775,362,380,1100,1765,1739,1984,2131,2214,2129,2025,765,1141,609,834,878,554,369,242
"56",10314,"male",2502,2523,2688,1765,1107,517,576,1629,2700,2729,2711,2775,3003,3091,2890,1125,1564,796,1090,1229,937,606,586
"57",10451,"male",1822,1637,1651,1193,874,375,410,1045,1566,1347,1170,1348,1323,1120,956,342,470,251,394,555,340,217,161
"58",10452,"male",3291,3040,3043,2006,1372,660,621,1769,2665,2534,2464,2544,2450,2133,1677,576,721,374,464,566,313,164,113
"59",10453,"male",3379,3166,3191,2162,1544,771,670,1946,2749,2418,2279,2474,2562,2253,1773,609,700,381,441,510,276,177,93
"60",10454,"male",1578,1584,1562,1108,785,408,376,993,1398,1271,1027,1073,1038,935,688,239,354,215,253,360,231,145,103
"61",10455,"male",1700,1676,1599,1092,787,390,349,983,1476,1350,1213,1240,1154,1003,777,251,388,207,287,373,258,140,86
"62",10456,"male",3789,3674,3718,2490,1621,807,737,1892,2766,2507,2495,2704,2793,2466,1873,639,781,450,525,718,440,209,191
"63",10457,"male",3292,2996,2942,1956,1250,591,571,1595,2427,2165,2011,2215,2218,1994,1512,490,561,326,424,592,365,208,136
"64",10458,"male",3255,3162,3146,1949,2076,1068,1066,2204,3198,2726,2535,2457,2410,2193,1693,574,642,369,423,543,365,225,153
"65",10459,"male",2120,2026,2015,1307,878,443,419,1166,1724,1443,1279,1458,1383,1267,1014,329,430,242,340,422,247,169,112
