group,location_n_event,count,day
0-17,BK_CASE_COUNT,1462,2020-05-18
0-17,BK_HOSPITALIZED_COUNT,129,2020-05-18
0-17,BK_DEATH_COUNT,3,2020-05-18
0-17,BK_CASE_RATE,250.72,2020-05-18
0-17,BK_HOSPITALIZED_RATE,22.12,2020-05-18
0-17,BK_DEATH_RATE,0.51,2020-05-18
0-17,BX_CASE_COUNT,1488,2020-05-18
0-17,BX_HOSPITALIZED_COUNT,130,2020-05-18
0-17,BX_DEATH_COUNT,5,2020-05-18
0-17,BX_CASE_RATE,421.69,2020-05-18
0-17,BX_HOSPITALIZED_RATE,36.84,2020-05-18
0-17,BX_DEATH_RATE,1.42,2020-05-18
0-17,MN_CASE_COUNT,386,2020-05-18
0-17,MN_HOSPITALIZED_COUNT,51,2020-05-18
0-17,MN_DEATH_COUNT,1,2020-05-18
0-17,MN_CASE_RATE,166,2020-05-18
0-17,MN_HOSPITALIZED_RATE,21.93,2020-05-18
0-17,MN_DEATH_RATE,0.43,2020-05-18
0-17,QN_CASE_COUNT,1273,2020-05-18
0-17,QN_HOSPITALIZED_COUNT,97,2020-05-18
0-17,QN_DEATH_COUNT,1,2020-05-18
0-17,QN_CASE_RATE,279.79,2020-05-18
0-17,QN_HOSPITALIZED_RATE,21.32,2020-05-18
0-17,QN_DEATH_RATE,0.22,2020-05-18
0-17,SI_CASE_COUNT,379,2020-05-18
0-17,SI_HOSPITALIZED_COUNT,19,2020-05-18
0-17,SI_DEATH_COUNT,0,2020-05-18
0-17,SI_CASE_RATE,366.47,2020-05-18
0-17,SI_HOSPITALIZED_RATE,18.37,2020-05-18
0-17,SI_DEATH_RATE,0,2020-05-18
18-44,BK_CASE_COUNT,18728,2020-05-18
18-44,BK_HOSPITALIZED_COUNT,1919,2020-05-18
18-44,BK_DEATH_COUNT,184,2020-05-18
18-44,BK_CASE_RATE,1784.44,2020-05-18
18-44,BK_HOSPITALIZED_RATE,182.85,2020-05-18
18-44,BK_DEATH_RATE,17.53,2020-05-18
18-44,BX_CASE_COUNT,16036,2020-05-18
18-44,BX_HOSPITALIZED_COUNT,1907,2020-05-18
18-44,BX_DEATH_COUNT,151,2020-05-18
18-44,BX_CASE_RATE,2885.89,2020-05-18
18-44,BX_HOSPITALIZED_RATE,343.19,2020-05-18
18-44,BX_DEATH_RATE,27.17,2020-05-18
18-44,MN_CASE_COUNT,8328,2020-05-18
18-44,MN_HOSPITALIZED_COUNT,947,2020-05-18
18-44,MN_DEATH_COUNT,49,2020-05-18
18-44,MN_CASE_RATE,1120.22,2020-05-18
18-44,MN_HOSPITALIZED_RATE,127.38,2020-05-18
18-44,MN_DEATH_RATE,6.59,2020-05-18
18-44,QN_CASE_COUNT,21607,2020-05-18
18-44,QN_HOSPITALIZED_COUNT,2464,2020-05-18
18-44,QN_DEATH_COUNT,212,2020-05-18
18-44,QN_CASE_RATE,2521.95,2020-05-18
18-44,QN_HOSPITALIZED_RATE,287.6,2020-05-18
18-44,QN_DEATH_RATE,24.74,2020-05-18
18-44,SI_CASE_COUNT,5129,2020-05-18
18-44,SI_HOSPITALIZED_COUNT,299,2020-05-18
18-44,SI_DEATH_COUNT,31,2020-05-18
18-44,SI_CASE_RATE,3121.46,2020-05-18
18-44,SI_HOSPITALIZED_RATE,181.97,2020-05-18
18-44,SI_DEATH_RATE,18.87,2020-05-18
45-64,BK_CASE_COUNT,18140,2020-05-18
45-64,BK_HOSPITALIZED_COUNT,4290,2020-05-18
45-64,BK_DEATH_COUNT,1117,2020-05-18
45-64,BK_CASE_RATE,3069.66,2020-05-18
45-64,BK_HOSPITALIZED_RATE,725.96,2020-05-18
45-64,BK_DEATH_RATE,189.02,2020-05-18
45-64,BX_CASE_COUNT,16211,2020-05-18
45-64,BX_HOSPITALIZED_COUNT,3980,2020-05-18
45-64,BX_DEATH_COUNT,817,2020-05-18
45-64,BX_CASE_RATE,4764.83,2020-05-18
45-64,BX_HOSPITALIZED_RATE,1169.82,2020-05-18
45-64,BX_DEATH_RATE,240.14,2020-05-18
45-64,MN_CASE_COUNT,7765,2020-05-18
45-64,MN_HOSPITALIZED_COUNT,2231,2020-05-18
45-64,MN_DEATH_COUNT,311,2020-05-18
45-64,MN_CASE_RATE,2022.93,2020-05-18
45-64,MN_HOSPITALIZED_RATE,581.22,2020-05-18
45-64,MN_DEATH_RATE,81.02,2020-05-18
45-64,QN_CASE_COUNT,22450,2020-05-18
