zipcode,neighborhood_name,borough_group,positive,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,total_covid_tests,day,newcases
10001,Chelsea/NoMad/West Chelsea,Manhattan,420,1782.45,23563.03,25,106.1,6.95,6043,2020-08-01,-1
10002,Chinatown/Lower East Side,Manhattan,1237,1611.61,76755.41,160,208.45,10,12373,2020-08-01,4
10003,East Village/Gramercy/Greenwich Village,Manhattan,516,959.08,53801.62,34,63.2,5.39,9571,2020-08-01,0
10004,Financial District,Manhattan,39,1068.32,3650.61,1,27.39,6.04,646,2020-08-01,0
10005,Financial District,Manhattan,81,964.73,8396.11,2,23.82,5.31,1524,2020-08-01,2
10006,Financial District,Manhattan,36,1041.13,3457.77,0,0,5.24,687,2020-08-01,0
10007,TriBeCa,Manhattan,71,860.63,8249.73,3,36.36,4.5,1577,2020-08-01,0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,796,1354.94,58747.99,69,117.45,7.24,11001,2020-08-01,3
10010,Flatiron/Gramercy/Kips Bay,Manhattan,310,957.62,32371.86,19,58.69,4.79,6467,2020-08-01,0
10011,Chelsea,Manhattan,597,1206.05,49500.52,43,86.87,5.93,10075,2020-08-01,0
10012,Greenwich Village/SoHo,Manhattan,193,804.8,23981.2,9,37.53,4.85,3976,2020-08-01,1
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,306,1054.04,29031.09,21,72.34,5.09,6017,2020-08-01,0
10014,Hudson Square/Meatpacking District/West Village,Manhattan,360,1159.68,31043.16,29,93.42,5.38,6687,2020-08-01,0
10016,Kips Bay/Murray Hill/NoMad,Manhattan,800,1523.1,52524.35,49,93.29,6.96,11493,2020-08-01,1
10017,East Midtown/Murray Hill,Manhattan,162,1004.51,16127.22,8,49.61,5.2,3117,2020-08-01,2
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,245,2570.44,9531.44,5,52.46,7.31,3353,2020-08-01,1
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,670,1648.97,40631.45,42,103.37,6.93,9664,2020-08-01,1
10021,Lenox Hill/Upper East Side,Manhattan,616,1394.43,44175.61,64,144.88,6.33,9736,2020-08-01,0
10022,East Midtown,Manhattan,381,1255.98,30334.8,31,102.19,5.83,6534,2020-08-01,1
10023,Lincoln Square,Manhattan,622,1031.94,60274.81,54,89.59,5.4,11525,2020-08-01,4
