"","date_of_interest","boro","cum_case_count","cum_hospitalized_count","cum_death_count"
"1",2020-02-29,"Brooklyn",0,0,0
"2",2020-03-01,"Brooklyn",0,0,0
"3",2020-03-02,"Brooklyn",0,0,0
"4",2020-03-03,"Brooklyn",0,0,0
"5",2020-03-04,"Brooklyn",1,1,0
"6",2020-03-05,"Brooklyn",4,3,0
"7",2020-03-06,"Brooklyn",5,4,0
"8",2020-03-07,"Brooklyn",6,6,0
"9",2020-03-08,"Brooklyn",11,13,0
"10",2020-03-09,"Brooklyn",27,23,0
"11",2020-03-10,"Brooklyn",38,33,0
"12",2020-03-11,"Brooklyn",69,43,0
"13",2020-03-12,"Brooklyn",165,71,0
"14",2020-03-13,"Brooklyn",331,107,0
"15",2020-03-14,"Brooklyn",494,145,1
"16",2020-03-15,"Brooklyn",927,191,1
"17",2020-03-16,"Brooklyn",1667,283,2
"18",2020-03-17,"Brooklyn",2450,379,6
"19",2020-03-18,"Brooklyn",3416,499,12
"20",2020-03-19,"Brooklyn",4620,650,18
"21",2020-03-20,"Brooklyn",5757,850,29
"22",2020-03-21,"Brooklyn",6311,1033,41
"23",2020-03-22,"Brooklyn",7066,1226,51
"24",2020-03-23,"Brooklyn",7976,1523,78
"25",2020-03-24,"Brooklyn",9187,1866,101
"26",2020-03-25,"Brooklyn",10441,2275,138
"27",2020-03-26,"Brooklyn",11815,2758,188
"28",2020-03-27,"Brooklyn",13238,3212,263
"29",2020-03-28,"Brooklyn",14101,3611,341
"30",2020-03-29,"Brooklyn",15250,4059,430
"31",2020-03-30,"Brooklyn",17005,4617,536
"32",2020-03-31,"Brooklyn",18519,5146,662
"33",2020-04-01,"Brooklyn",20108,5652,797
"34",2020-04-02,"Brooklyn",21721,6088,967
"35",2020-04-03,"Brooklyn",23162,6528,1109
"36",2020-04-04,"Brooklyn",24084,6889,1272
"37",2020-04-05,"Brooklyn",25225,7275,1439
"38",2020-04-06,"Brooklyn",26687,7775,1608
"39",2020-04-07,"Brooklyn",28083,8280,1789
"40",2020-04-08,"Brooklyn",29393,8730,1962
"41",2020-04-09,"Brooklyn",30762,9163,2152
"42",2020-04-10,"Brooklyn",31915,9521,2330
"43",2020-04-11,"Brooklyn",33044,9837,2489
"44",2020-04-12,"Brooklyn",33746,10108,2689
"45",2020-04-13,"Brooklyn",34811,10463,2847
"46",2020-04-14,"Brooklyn",35846,10754,2999
"47",2020-04-15,"Brooklyn",36728,11046,3131
"48",2020-04-16,"Brooklyn",37612,11295,3257
"49",2020-04-17,"Brooklyn",38572,11553,3375
"50",2020-04-18,"Brooklyn",39147,11732,3491
"51",2020-04-19,"Brooklyn",39782,11876,3609
"52",2020-04-20,"Brooklyn",40765,12079,3704
"53",2020-04-21,"Brooklyn",41661,12248,3796
"54",2020-04-22,"Brooklyn",42515,12403,3904
"55",2020-04-23,"Brooklyn",43301,12553,4010
"56",2020-04-24,"Brooklyn",43930,12692,4103
"57",2020-04-25,"Brooklyn",44335,12791,4179
"58",2020-04-26,"Brooklyn",44667,12872,4240
"59",2020-04-27,"Brooklyn",45275,12977,4328
"60",2020-04-28,"Brooklyn",45986,13080,4385
"61",2020-04-29,"Brooklyn",46667,13176,4457
"62",2020-04-30,"Brooklyn",47267,13252,4523
"63",2020-05-01,"Brooklyn",47764,13326,4579
"64",2020-05-02,"Brooklyn",48027,13379,4624
"65",2020-05-03,"Brooklyn",48274,13434,4669
"66",2020-05-04,"Brooklyn",48736,13507,4711
"67",2020-05-05,"Brooklyn",49169,13570,4760
"68",2020-05-06,"Brooklyn",49619,13639,4798
"69",2020-05-07,"Brooklyn",50022,13702,4844
"70",2020-05-08,"Brooklyn",50366,13766,4887
"71",2020-05-09,"Brooklyn",50485,13807,4915
