group,subgroup,boro,outcome,count,day
Age,0-4,BK,CASE_COUNT,866,2020-11-19
Age,0-4,BK,CASE_RATE,473.42,2020-11-19
Age,0-4,BX,CASE_COUNT,605,2020-11-19
Age,0-4,BX,CASE_RATE,603.8,2020-11-19
Age,0-4,MN,CASE_COUNT,267,2020-11-19
Age,0-4,MN,CASE_RATE,350.65,2020-11-19
Age,0-4,QN,CASE_COUNT,590,2020-11-19
Age,0-4,QN,CASE_RATE,430.36,2020-11-19
Age,0-4,SI,CASE_COUNT,168,2020-11-19
Age,0-4,SI,CASE_RATE,614.17,2020-11-19
Age,5-12,BK,CASE_COUNT,1749,2020-11-19
Age,5-12,BK,CASE_RATE,694.12,2020-11-19
Age,5-12,BX,CASE_COUNT,1150,2020-11-19
Age,5-12,BX,CASE_RATE,743.32,2020-11-19
Age,5-12,MN,CASE_COUNT,476,2020-11-19
Age,5-12,MN,CASE_RATE,479.85,2020-11-19
Age,5-12,QN,CASE_COUNT,1248,2020-11-19
Age,5-12,QN,CASE_RATE,637,2020-11-19
Age,5-12,SI,CASE_COUNT,376,2020-11-19
Age,5-12,SI,CASE_RATE,821.77,2020-11-19
Age,13-17,BK,CASE_COUNT,2109,2020-11-19
Age,13-17,BK,CASE_RATE,1504.69,2020-11-19
Age,13-17,BX,CASE_COUNT,1171,2020-11-19
Age,13-17,BX,CASE_RATE,1271.3,2020-11-19
Age,13-17,MN,CASE_COUNT,563,2020-11-19
Age,13-17,MN,CASE_RATE,1006.88,2020-11-19
Age,13-17,QN,CASE_COUNT,1523,2020-11-19
Age,13-17,QN,CASE_RATE,1326.75,2020-11-19
Age,13-17,SI,CASE_COUNT,475,2020-11-19
Age,13-17,SI,CASE_RATE,1590.44,2020-11-19
Age,18-24,BK,CASE_COUNT,5997,2020-11-19
Age,18-24,BK,CASE_RATE,2885.56,2020-11-19
Age,18-24,BX,CASE_COUNT,3809,2020-11-19
Age,18-24,BX,CASE_RATE,2733.53,2020-11-19
Age,18-24,MN,CASE_COUNT,2572,2020-11-19
Age,18-24,MN,CASE_RATE,1765.89,2020-11-19
Age,18-24,QN,CASE_COUNT,5202,2020-11-19
Age,18-24,QN,CASE_RATE,3021.29,2020-11-19
Age,18-24,SI,CASE_COUNT,1685,2020-11-19
Age,18-24,SI,CASE_RATE,4247.32,2020-11-19
