group,subgroup,boro,outcome,count,day
Race/ethnicity,Asian/Pacific-Islander,BK,CASE_COUNT,3276,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BK,CASE_RATE,971,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,CASE_COUNT,1223,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,CASE_RATE,1984.51,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,CASE_COUNT,1704,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,CASE_RATE,752.53,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,CASE_COUNT,8533,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,CASE_RATE,1309.07,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,CASE_COUNT,691,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,CASE_RATE,1256.89,2020-12-05
Race/ethnicity,Black/African-American,BK,CASE_COUNT,15464,2020-12-05
Race/ethnicity,Black/African-American,BK,CASE_RATE,1856.23,2020-12-05
Race/ethnicity,Black/African-American,BX,CASE_COUNT,12815,2020-12-05
Race/ethnicity,Black/African-American,BX,CASE_RATE,2937.67,2020-12-05
Race/ethnicity,Black/African-American,MN,CASE_COUNT,4584,2020-12-05
Race/ethnicity,Black/African-American,MN,CASE_RATE,1973.73,2020-12-05
Race/ethnicity,Black/African-American,QN,CASE_COUNT,9790,2020-12-05
Race/ethnicity,Black/African-American,QN,CASE_RATE,2181.17,2020-12-05
Race/ethnicity,Black/African-American,SI,CASE_COUNT,1366,2020-12-05
Race/ethnicity,Black/African-American,SI,CASE_RATE,3040.63,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,CASE_COUNT,9547,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,CASE_RATE,2006.46,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,CASE_COUNT,25458,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,CASE_RATE,3280.04,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,CASE_COUNT,9031,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,CASE_RATE,2017.93,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,CASE_COUNT,18374,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,CASE_RATE,2882.37,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,CASE_COUNT,2455,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,CASE_RATE,2935.51,2020-12-05
Race/ethnicity,White,BK,CASE_COUNT,18903,2020-12-05
Race/ethnicity,White,BK,CASE_RATE,1960.34,2020-12-05
Race/ethnicity,White,BX,CASE_COUNT,4092,2020-12-05
Race/ethnicity,White,BX,CASE_RATE,2826.9,2020-12-05
Race/ethnicity,White,MN,CASE_COUNT,9406,2020-12-05
Race/ethnicity,White,MN,CASE_RATE,1074.71,2020-12-05
Race/ethnicity,White,QN,CASE_COUNT,11873,2020-12-05
Race/ethnicity,White,QN,CASE_RATE,1872.79,2020-12-05
Race/ethnicity,White,SI,CASE_COUNT,8801,2020-12-05
Race/ethnicity,White,SI,CASE_RATE,2923.37,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BK,DEATH_COUNT,310,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BK,DEATH_RATE,100.4,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,DEATH_COUNT,90,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,DEATH_RATE,150.34,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,DEATH_COUNT,157,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,DEATH_RATE,68.04,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,DEATH_COUNT,848,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,DEATH_RATE,123.42,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,DEATH_COUNT,60,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,DEATH_RATE,111.49,2020-12-05
Race/ethnicity,Black/African-American,BK,DEATH_COUNT,2186,2020-12-05
Race/ethnicity,Black/African-American,BK,DEATH_RATE,236.23,2020-12-05
Race/ethnicity,Black/African-American,BX,DEATH_COUNT,1327,2020-12-05
Race/ethnicity,Black/African-American,BX,DEATH_RATE,297.44,2020-12-05
Race/ethnicity,Black/African-American,MN,DEATH_COUNT,596,2020-12-05
Race/ethnicity,Black/African-American,MN,DEATH_RATE,228.22,2020-12-05
Race/ethnicity,Black/African-American,QN,DEATH_COUNT,1181,2020-12-05
Race/ethnicity,Black/African-American,QN,DEATH_RATE,234.21,2020-12-05
Race/ethnicity,Black/African-American,SI,DEATH_COUNT,116,2020-12-05
Race/ethnicity,Black/African-American,SI,DEATH_RATE,289.37,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,DEATH_COUNT,1173,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,DEATH_RATE,268.78,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,DEATH_COUNT,1913,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,DEATH_RATE,271.44,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,DEATH_COUNT,966,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,DEATH_RATE,194.49,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,DEATH_COUNT,1854,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,DEATH_RATE,314.7,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,DEATH_COUNT,138,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,DEATH_RATE,223.27,2020-12-05
Race/ethnicity,White,BK,DEATH_COUNT,1755,2020-12-05
Race/ethnicity,White,BK,DEATH_RATE,158.42,2020-12-05
Race/ethnicity,White,BX,DEATH_COUNT,472,2020-12-05
Race/ethnicity,White,BX,DEATH_RATE,173.64,2020-12-05
Race/ethnicity,White,MN,DEATH_COUNT,679,2020-12-05
Race/ethnicity,White,MN,DEATH_RATE,62.23,2020-12-05
Race/ethnicity,White,QN,DEATH_COUNT,1522,2020-12-05
Race/ethnicity,White,QN,DEATH_RATE,148.64,2020-12-05
Race/ethnicity,White,SI,DEATH_COUNT,609,2020-12-05
Race/ethnicity,White,SI,DEATH_RATE,139.83,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BK,HOSPITALIZED_COUNT,847,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BK,HOSPITALIZED_RATE,255.56,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,HOSPITALIZED_COUNT,339,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,BX,HOSPITALIZED_RATE,538.26,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,HOSPITALIZED_COUNT,448,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,MN,HOSPITALIZED_RATE,199.21,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,HOSPITALIZED_COUNT,2485,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,QN,HOSPITALIZED_RATE,351.91,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,HOSPITALIZED_COUNT,139,2020-12-05
Race/ethnicity,Asian/Pacific-Islander,SI,HOSPITALIZED_RATE,240.32,2020-12-05
Race/ethnicity,Black/African-American,BK,HOSPITALIZED_COUNT,6164,2020-12-05
Race/ethnicity,Black/African-American,BK,HOSPITALIZED_RATE,685.45,2020-12-05
Race/ethnicity,Black/African-American,BX,HOSPITALIZED_COUNT,4383,2020-12-05
Race/ethnicity,Black/African-American,BX,HOSPITALIZED_RATE,977.25,2020-12-05
Race/ethnicity,Black/African-American,MN,HOSPITALIZED_COUNT,1955,2020-12-05
Race/ethnicity,Black/African-American,MN,HOSPITALIZED_RATE,778.5,2020-12-05
Race/ethnicity,Black/African-American,QN,HOSPITALIZED_COUNT,3434,2020-12-05
Race/ethnicity,Black/African-American,QN,HOSPITALIZED_RATE,699.3,2020-12-05
Race/ethnicity,Black/African-American,SI,HOSPITALIZED_COUNT,403,2020-12-05
Race/ethnicity,Black/African-American,SI,HOSPITALIZED_RATE,917.91,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,HOSPITALIZED_COUNT,3001,2020-12-05
Race/ethnicity,Hispanic/Latino,BK,HOSPITALIZED_RATE,655.89,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,HOSPITALIZED_COUNT,5996,2020-12-05
Race/ethnicity,Hispanic/Latino,BX,HOSPITALIZED_RATE,808.29,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,HOSPITALIZED_COUNT,2838,2020-12-05
Race/ethnicity,Hispanic/Latino,MN,HOSPITALIZED_RATE,593.25,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,HOSPITALIZED_COUNT,5996,2020-12-05
Race/ethnicity,Hispanic/Latino,QN,HOSPITALIZED_RATE,962.7,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,HOSPITALIZED_COUNT,541,2020-12-05
Race/ethnicity,Hispanic/Latino,SI,HOSPITALIZED_RATE,738.9,2020-12-05
Race/ethnicity,White,BK,HOSPITALIZED_COUNT,5041,2020-12-05
Race/ethnicity,White,BK,HOSPITALIZED_RATE,481.43,2020-12-05
Race/ethnicity,White,BX,HOSPITALIZED_COUNT,1206,2020-12-05
Race/ethnicity,White,BX,HOSPITALIZED_RATE,596.93,2020-12-05
Race/ethnicity,White,MN,HOSPITALIZED_COUNT,1870,2020-12-05
Race/ethnicity,White,MN,HOSPITALIZED_RATE,184.44,2020-12-05
Race/ethnicity,White,QN,HOSPITALIZED_COUNT,3533,2020-12-05
Race/ethnicity,White,QN,HOSPITALIZED_RATE,400.62,2020-12-05
Race/ethnicity,White,SI,HOSPITALIZED_COUNT,1666,2020-12-05
Race/ethnicity,White,SI,HOSPITALIZED_RATE,419.52,2020-12-05
