group,subgroup,boro,outcome,count,day
Sex,Female,BK,CASE_COUNT,39697,2020-11-21
Sex,Female,BK,CASE_RATE,2945.52,2020-11-21
Sex,Female,BX,CASE_COUNT,30323,2020-11-21
Sex,Female,BX,CASE_RATE,4050.31,2020-11-21
Sex,Female,MN,CASE_COUNT,17970,2020-11-21
Sex,Female,MN,CASE_RATE,2096.29,2020-11-21
Sex,Female,QN,CASE_COUNT,39677,2020-11-21
Sex,Female,QN,CASE_RATE,3420.52,2020-11-21
Sex,Female,SI,CASE_COUNT,9344,2020-11-21
Sex,Female,SI,CASE_RATE,3816.79,2020-11-21
Sex,Male,BK,CASE_COUNT,39753,2020-11-21
Sex,Male,BK,CASE_RATE,3279.43,2020-11-21
Sex,Male,BX,CASE_COUNT,28775,2020-11-21
Sex,Male,BX,CASE_RATE,4297.68,2020-11-21
Sex,Male,MN,CASE_COUNT,19420,2020-11-21
Sex,Male,MN,CASE_RATE,2517.25,2020-11-21
Sex,Male,QN,CASE_COUNT,42037,2020-11-21
Sex,Male,QN,CASE_RATE,3842.89,2020-11-21
Sex,Male,SI,CASE_COUNT,9927,2020-11-21
Sex,Male,SI,CASE_RATE,4291.27,2020-11-21
Sex,Female,BK,DEATH_COUNT,2335,2020-11-21
Sex,Female,BK,DEATH_RATE,173.26,2020-11-21
Sex,Female,BX,DEATH_COUNT,1700,2020-11-21
Sex,Female,BX,DEATH_RATE,227.07,2020-11-21
Sex,Female,MN,DEATH_COUNT,1055,2020-11-21
Sex,Female,MN,DEATH_RATE,123.07,2020-11-21
Sex,Female,QN,DEATH_COUNT,2371,2020-11-21
Sex,Female,QN,DEATH_RATE,204.4,2020-11-21
Sex,Female,SI,DEATH_COUNT,389,2020-11-21
Sex,Female,SI,DEATH_RATE,158.9,2020-11-21
Sex,Male,BK,DEATH_COUNT,3492,2020-11-21
Sex,Male,BK,DEATH_RATE,288.07,2020-11-21
Sex,Male,BX,DEATH_COUNT,2396,2020-11-21
Sex,Male,BX,DEATH_RATE,357.85,2020-11-21
Sex,Male,MN,DEATH_COUNT,1512,2020-11-21
Sex,Male,MN,DEATH_RATE,195.99,2020-11-21
Sex,Male,QN,DEATH_COUNT,3727,2020-11-21
Sex,Male,QN,DEATH_RATE,340.71,2020-11-21
Sex,Male,SI,DEATH_COUNT,543,2020-11-21
Sex,Male,SI,DEATH_RATE,234.73,2020-11-21
Sex,Female,BK,HOSPITALIZED_COUNT,7952,2020-11-21
Sex,Female,BK,HOSPITALIZED_RATE,590.04,2020-11-21
Sex,Female,BX,HOSPITALIZED_COUNT,6071,2020-11-21
Sex,Female,BX,HOSPITALIZED_RATE,810.92,2020-11-21
Sex,Female,MN,HOSPITALIZED_COUNT,3710,2020-11-21
Sex,Female,MN,HOSPITALIZED_RATE,432.79,2020-11-21
Sex,Female,QN,HOSPITALIZED_COUNT,7873,2020-11-21
Sex,Female,QN,HOSPITALIZED_RATE,678.73,2020-11-21
Sex,Female,SI,HOSPITALIZED_COUNT,1183,2020-11-21
Sex,Female,SI,HOSPITALIZED_RATE,483.23,2020-11-21
Sex,Male,BK,HOSPITALIZED_COUNT,9415,2020-11-21
Sex,Male,BK,HOSPITALIZED_RATE,776.69,2020-11-21
Sex,Male,BX,HOSPITALIZED_COUNT,7155,2020-11-21
Sex,Male,BX,HOSPITALIZED_RATE,1068.63,2020-11-21
Sex,Male,MN,HOSPITALIZED_COUNT,4862,2020-11-21
Sex,Male,MN,HOSPITALIZED_RATE,630.22,2020-11-21
Sex,Male,QN,HOSPITALIZED_COUNT,10664,2020-11-21
Sex,Male,QN,HOSPITALIZED_RATE,974.87,2020-11-21
Sex,Male,SI,HOSPITALIZED_COUNT,1541,2020-11-21
Sex,Male,SI,HOSPITALIZED_RATE,666.15,2020-11-21
