group,boro,outcome,count,day
Female,BK,CASE_COUNT,25743,2020-05-18
Female,BK,HOSPITALIZED_COUNT,5888,2020-05-18
Female,BK,DEATH_COUNT,1913,2020-05-18
Female,BK,CASE_RATE,1894.17,2020-05-18
Female,BK,HOSPITALIZED_RATE,433.24,2020-05-18
Female,BK,DEATH_RATE,140.76,2020-05-18
Female,BX,CASE_COUNT,21669,2020-05-18
Female,BX,HOSPITALIZED_COUNT,5102,2020-05-18
Female,BX,DEATH_COUNT,1366,2020-05-18
Female,BX,CASE_RATE,2861.61,2020-05-18
Female,BX,HOSPITALIZED_RATE,673.77,2020-05-18
Female,BX,DEATH_RATE,180.39,2020-05-18
Female,MN,CASE_COUNT,11033,2020-05-18
Female,MN,HOSPITALIZED_COUNT,3098,2020-05-18
Female,MN,DEATH_COUNT,867,2020-05-18
Female,MN,CASE_RATE,1286.57,2020-05-18
Female,MN,HOSPITALIZED_RATE,361.26,2020-05-18
Female,MN,DEATH_RATE,101.1,2020-05-18
Female,QN,CASE_COUNT,27922,2020-05-18
Female,QN,HOSPITALIZED_COUNT,6547,2020-05-18
Female,QN,DEATH_COUNT,1798,2020-05-18
Female,QN,CASE_RATE,2379.34,2020-05-18
Female,QN,HOSPITALIZED_RATE,557.9,2020-05-18
Female,QN,DEATH_RATE,153.21,2020-05-18
Female,SI,CASE_COUNT,6120,2020-05-18
Female,SI,HOSPITALIZED_COUNT,919,2020-05-18
Female,SI,DEATH_COUNT,310,2020-05-18
Female,SI,CASE_RATE,2493.75,2020-05-18
Female,SI,HOSPITALIZED_RATE,374.47,2020-05-18
Female,SI,DEATH_RATE,126.32,2020-05-18
Male,BK,CASE_COUNT,26324,2020-05-18
Male,BK,HOSPITALIZED_COUNT,7543,2020-05-18
Male,BK,DEATH_COUNT,2938,2020-05-18
Male,BK,CASE_RATE,2151.07,2020-05-18
Male,BK,HOSPITALIZED_RATE,616.38,2020-05-18
Male,BK,DEATH_RATE,240.08,2020-05-18
Male,BX,CASE_COUNT,21705,2020-05-18
Male,BX,HOSPITALIZED_COUNT,6228,2020-05-18
Male,BX,DEATH_COUNT,2012,2020-05-18
Male,BX,CASE_RATE,3216.03,2020-05-18
Male,BX,HOSPITALIZED_RATE,922.8,2020-05-18
Male,BX,DEATH_RATE,298.12,2020-05-18
Male,MN,CASE_COUNT,12653,2020-05-18
Male,MN,HOSPITALIZED_COUNT,4266,2020-05-18
Male,MN,DEATH_COUNT,1287,2020-05-18
Male,MN,CASE_RATE,1640.79,2020-05-18
Male,MN,HOSPITALIZED_RATE,553.2,2020-05-18
Male,MN,DEATH_RATE,166.89,2020-05-18
Male,QN,CASE_COUNT,30797,2020-05-18
Male,QN,HOSPITALIZED_COUNT,9266,2020-05-18
Male,QN,DEATH_COUNT,2971,2020-05-18
Male,QN,CASE_RATE,2786.08,2020-05-18
Male,QN,HOSPITALIZED_RATE,838.26,2020-05-18
Male,QN,DEATH_RATE,268.77,2020-05-18
Male,SI,CASE_COUNT,6843,2020-05-18
Male,SI,HOSPITALIZED_COUNT,1273,2020-05-18
Male,SI,DEATH_COUNT,455,2020-05-18
Male,SI,CASE_RATE,2965.35,2020-05-18
Male,SI,HOSPITALIZED_RATE,551.64,2020-05-18
Male,SI,DEATH_RATE,197.17,2020-05-18
Boroughwide,BK,CASE_COUNT,52145,2020-05-18
Boroughwide,BK,HOSPITALIZED_COUNT,13457,2020-05-18
Boroughwide,BK,DEATH_COUNT,4875,2020-05-18
Boroughwide,BK,CASE_RATE,2018.91,2020-05-18
Boroughwide,BK,HOSPITALIZED_RATE,521.02,2020-05-18
Boroughwide,BK,DEATH_RATE,188.75,2020-05-18
Boroughwide,BX,CASE_COUNT,43397,2020-05-18
Boroughwide,BX,HOSPITALIZED_COUNT,11338,2020-05-18
Boroughwide,BX,DEATH_COUNT,3386,2020-05-18
Boroughwide,BX,CASE_RATE,3030.24,2020-05-18
Boroughwide,BX,HOSPITALIZED_RATE,791.69,2020-05-18
Boroughwide,BX,DEATH_RATE,236.43,2020-05-18
Boroughwide,MN,CASE_COUNT,23711,2020-05-18
Boroughwide,MN,HOSPITALIZED_COUNT,7372,2020-05-18
Boroughwide,MN,DEATH_COUNT,2160,2020-05-18
Boroughwide,MN,CASE_RATE,1455.82,2020-05-18
Boroughwide,MN,HOSPITALIZED_RATE,452.63,2020-05-18
Boroughwide,MN,DEATH_RATE,132.62,2020-05-18
Boroughwide,QN,CASE_COUNT,58756,2020-05-18
