modified_zcta,month,date,positive,total,zcta_cum_perc_pos,neighborhood_name,borough_group,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,newcases_day
10001,May,1,304,826,36.8,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,2
10001,May,2,306,844,36.26,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,3
10001,May,3,309,861,35.89,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,2
10001,May,4,311,878,35.42,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,3
10001,May,5,314,912,34.43,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,-1
10001,May,6,313,944,33.16,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,0
10001,May,7,313,976,32.07,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,1
10001,May,8,314,996,31.53,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,0
10001,May,9,314,1047,29.99,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,4
10001,May,10,318,1090,29.17,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,2
10001,May,11,320,1122,28.52,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,1
10001,May,12,321,1130,28.41,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,0
10001,May,13,321,1176,27.3,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,2
10001,May,14,323,1211,26.67,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,4
10001,May,15,327,1265,25.85,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,2
10001,May,16,329,1314,25.04,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,5
10001,May,17,334,1356,24.63,Chelsea/NoMad/West Chelsea,Manhattan,NA,NA,NA,NA,NA,1
10002,May,1,848,1910,44.4,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,14
10002,May,2,862,1987,43.38,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,8
10002,May,3,870,2033,42.79,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,8
10002,May,4,878,2069,42.44,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,12
10002,May,5,890,2122,41.94,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,9
10002,May,6,899,2169,41.45,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,6
10002,May,7,905,2219,40.78,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,2
10002,May,8,907,2240,40.49,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,8
10002,May,9,915,2345,39.02,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,9
10002,May,10,924,2401,38.48,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,6
10002,May,11,930,2444,38.05,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,1
10002,May,12,931,2457,37.89,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,3
10002,May,13,934,2513,37.17,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,2
10002,May,14,936,2586,36.19,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,15
10002,May,15,951,2703,35.18,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,14
10002,May,16,965,2766,34.89,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,5
10002,May,17,970,2844,34.11,Chinatown/Lower East Side,Manhattan,NA,NA,NA,NA,NA,5
10003,May,1,389,1156,33.65,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,3
10003,May,2,392,1186,33.05,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,4
10003,May,3,396,1228,32.25,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,3
10003,May,4,399,1251,31.89,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,3
10003,May,5,402,1277,31.48,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,4
10003,May,6,406,1308,31.04,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,1
10003,May,7,407,1347,30.22,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,0
10003,May,8,407,1365,29.82,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,3
10003,May,9,410,1445,28.37,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,3
10003,May,10,413,1504,27.46,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,1
10003,May,11,414,1532,27.02,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,0
10003,May,12,414,1549,26.73,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,6
10003,May,13,420,1602,26.22,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,2
10003,May,14,422,1654,25.51,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,2
10003,May,15,424,1765,24.02,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,1
10003,May,16,425,1841,23.09,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,1
10003,May,17,426,1890,22.54,East Village/Gramercy/Greenwich Village,Manhattan,NA,NA,NA,NA,NA,4
10004,May,1,26,82,31.71,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10004,May,2,27,85,31.76,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,3,27,85,31.76,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10004,May,4,28,87,32.18,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,5,28,90,31.11,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,6,28,91,30.77,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,7,28,93,30.11,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,8,28,93,30.11,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,9,28,100,28,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,10,28,101,27.72,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,11,28,107,26.17,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,12,28,108,25.93,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,13,28,110,25.45,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,14,28,113,24.78,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,15,28,116,24.14,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,16,28,117,23.93,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10004,May,17,28,125,22.4,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10005,May,1,53,197,26.9,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10005,May,2,54,200,27,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,3,54,206,26.21,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,4,54,214,25.23,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,5,54,220,24.55,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,6,54,223,24.22,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,7,54,227,23.79,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,8,54,230,23.48,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,9,54,243,22.22,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,10,54,250,21.6,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,11,54,255,21.18,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,12,54,256,21.09,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,13,54,266,20.3,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10005,May,14,55,278,19.78,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10005,May,15,56,305,18.36,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10005,May,16,56,315,17.78,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10005,May,17,57,325,17.54,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10006,May,1,21,86,24.42,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,2,21,89,23.6,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,3,21,91,23.08,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,4,21,92,22.83,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,5,21,95,22.11,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,6,21,97,21.65,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,7,21,99,21.21,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,8,21,99,21.21,Financial District,Manhattan,NA,NA,NA,NA,NA,2
10006,May,9,23,106,21.7,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,10,23,106,21.7,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,11,23,108,21.3,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,12,23,108,21.3,Financial District,Manhattan,NA,NA,NA,NA,NA,-1
10006,May,13,22,109,20.18,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,14,22,110,20,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,15,22,118,18.64,Financial District,Manhattan,NA,NA,NA,NA,NA,1
10006,May,16,23,130,17.69,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10006,May,17,23,133,17.29,Financial District,Manhattan,NA,NA,NA,NA,NA,0
10007,May,1,45,189,23.81,TriBeCa,Manhattan,NA,NA,NA,NA,NA,2
10007,May,2,47,201,23.38,TriBeCa,Manhattan,NA,NA,NA,NA,NA,2
10007,May,3,49,204,24.02,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,4,49,205,23.9,TriBeCa,Manhattan,NA,NA,NA,NA,NA,-1
10007,May,5,48,209,22.97,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,6,48,212,22.64,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,7,48,215,22.33,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,8,48,215,22.33,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,9,48,233,20.6,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,10,48,238,20.17,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,11,48,241,19.92,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,12,48,244,19.67,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,13,48,251,19.12,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,14,48,265,18.11,TriBeCa,Manhattan,NA,NA,NA,NA,NA,2
10007,May,15,50,283,17.67,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,16,50,294,17.01,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10007,May,17,50,300,16.67,TriBeCa,Manhattan,NA,NA,NA,NA,NA,0
10009,May,1,601,1664,36.12,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,4
10009,May,2,605,1697,35.65,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,2
10009,May,3,607,1745,34.79,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,3
10009,May,4,610,1767,34.52,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,3
10009,May,5,613,1803,34,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,1
10009,May,6,614,1844,33.3,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,2
10009,May,7,616,1900,32.42,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,1
10009,May,8,617,1921,32.12,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,8
10009,May,9,625,2014,31.03,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,6
10009,May,10,631,2062,30.6,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,0
10009,May,11,631,2097,30.09,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,0
10009,May,12,631,2105,29.98,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,5
10009,May,13,636,2163,29.4,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,1
10009,May,14,637,2226,28.62,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,9
10009,May,15,646,2340,27.61,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,NA,NA,NA,NA,NA,5
