"","date_of_interest","boro","cum_case_count","cum_hospitalized_count","cum_death_count"
"1",2020-02-29,"Brooklyn",0,4,0
"2",2020-03-01,"Brooklyn",0,4,0
"3",2020-03-02,"Brooklyn",0,8,0
"4",2020-03-03,"Brooklyn",0,13,0
"5",2020-03-04,"Brooklyn",1,18,0
"6",2020-03-05,"Brooklyn",4,23,0
"7",2020-03-06,"Brooklyn",5,26,0
"8",2020-03-07,"Brooklyn",7,32,0
"9",2020-03-08,"Brooklyn",12,41,0
"10",2020-03-09,"Brooklyn",28,56,0
"11",2020-03-10,"Brooklyn",39,69,0
"12",2020-03-11,"Brooklyn",70,84,0
"13",2020-03-12,"Brooklyn",166,114,0
"14",2020-03-13,"Brooklyn",333,153,0
"15",2020-03-14,"Brooklyn",496,191,1
"16",2020-03-15,"Brooklyn",929,235,1
"17",2020-03-16,"Brooklyn",1669,321,2
"18",2020-03-17,"Brooklyn",2453,420,6
"19",2020-03-18,"Brooklyn",3420,535,12
"20",2020-03-19,"Brooklyn",4624,684,18
"21",2020-03-20,"Brooklyn",5762,871,29
"22",2020-03-21,"Brooklyn",6317,1043,41
"23",2020-03-22,"Brooklyn",7072,1226,51
"24",2020-03-23,"Brooklyn",7982,1503,78
"25",2020-03-24,"Brooklyn",9196,1811,101
"26",2020-03-25,"Brooklyn",10446,2196,138
"27",2020-03-26,"Brooklyn",11822,2655,188
"28",2020-03-27,"Brooklyn",13251,3071,263
"29",2020-03-28,"Brooklyn",14113,3442,341
"30",2020-03-29,"Brooklyn",15260,3871,431
"31",2020-03-30,"Brooklyn",17020,4394,537
"32",2020-03-31,"Brooklyn",18539,4889,663
"33",2020-04-01,"Brooklyn",20141,5362,798
"34",2020-04-02,"Brooklyn",21773,5770,968
"35",2020-04-03,"Brooklyn",23220,6176,1110
"36",2020-04-04,"Brooklyn",24141,6520,1273
"37",2020-04-05,"Brooklyn",25291,6894,1440
"38",2020-04-06,"Brooklyn",26780,7362,1609
"39",2020-04-07,"Brooklyn",28197,7847,1790
"40",2020-04-08,"Brooklyn",29520,8275,1963
"41",2020-04-09,"Brooklyn",30891,8690,2153
"42",2020-04-10,"Brooklyn",32049,9034,2331
"43",2020-04-11,"Brooklyn",33179,9338,2491
"44",2020-04-12,"Brooklyn",33880,9601,2691
"45",2020-04-13,"Brooklyn",34945,9942,2850
"46",2020-04-14,"Brooklyn",35981,10218,3002
"47",2020-04-15,"Brooklyn",36864,10501,3134
"48",2020-04-16,"Brooklyn",37748,10747,3260
"49",2020-04-17,"Brooklyn",38708,11009,3378
"50",2020-04-18,"Brooklyn",39282,11186,3494
"51",2020-04-19,"Brooklyn",39918,11326,3612
"52",2020-04-20,"Brooklyn",40900,11539,3707
"53",2020-04-21,"Brooklyn",41800,11713,3799
"54",2020-04-22,"Brooklyn",42653,11873,3907
"55",2020-04-23,"Brooklyn",43444,12032,4013
"56",2020-04-24,"Brooklyn",44075,12174,4106
"57",2020-04-25,"Brooklyn",44479,12281,4182
"58",2020-04-26,"Brooklyn",44811,12370,4243
"59",2020-04-27,"Brooklyn",45421,12486,4331
"60",2020-04-28,"Brooklyn",46135,12611,4388
"61",2020-04-29,"Brooklyn",46817,12731,4460
"62",2020-04-30,"Brooklyn",47417,12829,4526
"63",2020-05-01,"Brooklyn",47915,12917,4581
"64",2020-05-02,"Brooklyn",48179,12979,4627
"65",2020-05-03,"Brooklyn",48427,13040,4673
"66",2020-05-04,"Brooklyn",48889,13130,4715
"67",2020-05-05,"Brooklyn",49323,13206,4764
"68",2020-05-06,"Brooklyn",49775,13283,4802
"69",2020-05-07,"Brooklyn",50177,13372,4848
"70",2020-05-08,"Brooklyn",50521,13450,4891
"71",2020-05-09,"Brooklyn",50640,13508,4919
"72",2020-05-10,"Brooklyn",50828,13554,4945
"73",2020-05-11,"Brooklyn",51238,13632,4977
"74",2020-05-12,"Brooklyn",51638,13693,5010
"75",2020-05-13,"Brooklyn",52001,13762,5033
"76",2020-05-14,"Brooklyn",52334,13824,5047
"77",2020-05-15,"Brooklyn",52593,13885,5073
"78",2020-05-16,"Brooklyn",52758,13931,5097
"79",2020-05-17,"Brooklyn",52895,13969,5116
"80",2020-05-18,"Brooklyn",53163,14030,5133
"81",2020-05-19,"Brooklyn",53492,14097,5149
"82",2020-05-20,"Brooklyn",53825,14148,5170
"83",2020-05-21,"Brooklyn",54169,14215,5185
"84",2020-05-22,"Brooklyn",54548,14278,5200
"85",2020-05-23,"Brooklyn",54705,14312,5220
"86",2020-05-24,"Brooklyn",54880,14346,5232
"87",2020-05-25,"Brooklyn",55054,14377,5246
"88",2020-05-26,"Brooklyn",55391,14410,5258
"89",2020-05-27,"Brooklyn",55643,14463,5269
"90",2020-05-28,"Brooklyn",55870,14510,5281
"91",2020-05-29,"Brooklyn",56043,14543,5297
"92",2020-05-30,"Brooklyn",56155,14574,5308
"93",2020-05-31,"Brooklyn",56243,14600,5319
"94",2020-06-01,"Brooklyn",56496,14637,5329
"95",2020-06-02,"Brooklyn",56686,14668,5335
"96",2020-06-03,"Brooklyn",56822,14706,5348
"97",2020-06-04,"Brooklyn",56955,14737,5358
"98",2020-06-05,"Brooklyn",57086,14757,5364
"99",2020-06-06,"Brooklyn",57145,14769,5374
"100",2020-06-07,"Brooklyn",57198,14785,5380
"101",2020-06-08,"Brooklyn",57310,14805,5393
"102",2020-06-09,"Brooklyn",57434,14822,5399
"103",2020-06-10,"Brooklyn",57532,14831,5410
"104",2020-06-11,"Brooklyn",57646,14844,5414
"105",2020-06-12,"Brooklyn",57768,14865,5420
"106",2020-06-13,"Brooklyn",57820,14873,5424
"107",2020-06-14,"Brooklyn",57873,14885,5431
"108",2020-06-15,"Brooklyn",57975,14904,5435
"109",2020-06-16,"Brooklyn",58106,14920,5440
"110",2020-06-17,"Brooklyn",58217,14930,5447
"111",2020-06-18,"Brooklyn",58330,14943,5451
"112",2020-06-19,"Brooklyn",58420,14965,5454
"113",2020-06-20,"Brooklyn",58466,14975,5458
"114",2020-06-21,"Brooklyn",58518,14990,5464
"115",2020-06-22,"Brooklyn",58628,15006,5471
"116",2020-06-23,"Brooklyn",58724,15018,5480
"117",2020-06-24,"Brooklyn",58825,15030,5491
"118",2020-06-25,"Brooklyn",58906,15038,5496
"119",2020-06-26,"Brooklyn",59000,15053,5499
"120",2020-06-27,"Brooklyn",59069,15071,5510
"121",2020-06-28,"Brooklyn",59127,15082,5511
"122",2020-06-29,"Brooklyn",59254,15101,5516
"123",2020-06-30,"Brooklyn",59387,15116,5521
"124",2020-07-01,"Brooklyn",59507,15125,5526
"125",2020-07-02,"Brooklyn",59637,15133,5530
"126",2020-07-03,"Brooklyn",59709,15145,5535
"127",2020-07-04,"Brooklyn",59732,15151,5541
"128",2020-07-05,"Brooklyn",59785,15154,5546
"129",2020-07-06,"Brooklyn",59928,15172,5550
"130",2020-07-07,"Brooklyn",60051,15178,5554
"131",2020-07-08,"Brooklyn",60173,15189,5559
"132",2020-07-09,"Brooklyn",60278,15197,5563
"133",2020-07-10,"Brooklyn",60369,15212,5566
"134",2020-07-11,"Brooklyn",60441,15223,5568
"135",2020-07-12,"Brooklyn",60497,15228,5572
"136",2020-07-13,"Brooklyn",60620,15242,5574
"137",2020-07-14,"Brooklyn",60730,15249,5578
"138",2020-07-15,"Brooklyn",60880,15261,5580
"139",2020-07-16,"Brooklyn",60971,15268,5583
"140",2020-07-17,"Brooklyn",61074,15282,5583
"141",2020-07-18,"Brooklyn",61132,15289,5588
"142",2020-07-19,"Brooklyn",61171,15298,5591
"143",2020-07-20,"Brooklyn",61256,15305,5595
"144",2020-07-21,"Brooklyn",61335,15313,5600
"145",2020-07-22,"Brooklyn",61430,15325,5601
"146",2020-07-23,"Brooklyn",61514,15337,5606
"147",2020-07-24,"Brooklyn",61581,15347,5608
"148",2020-07-25,"Brooklyn",61616,15356,5610
"149",2020-07-26,"Brooklyn",61656,15358,5614
"150",2020-07-27,"Brooklyn",61740,15371,5616
"151",2020-07-28,"Brooklyn",61845,15383,5617
"152",2020-07-29,"Brooklyn",61916,15391,5618
"153",2020-07-30,"Brooklyn",62011,15403,5620
"154",2020-07-31,"Brooklyn",62091,15410,5621
"155",2020-08-01,"Brooklyn",62146,15419,5624
"156",2020-08-02,"Brooklyn",62186,15425,5626
"157",2020-08-03,"Brooklyn",62281,15434,5626
"158",2020-08-04,"Brooklyn",62330,15441,5628
"159",2020-08-05,"Brooklyn",62427,15449,5628
"160",2020-08-06,"Brooklyn",62511,15457,5630
"161",2020-08-07,"Brooklyn",62605,15463,5630
"162",2020-08-08,"Brooklyn",62660,15467,5631
"163",2020-08-09,"Brooklyn",62708,15476,5631
"164",2020-08-10,"Brooklyn",62781,15483,5632
"165",2020-08-11,"Brooklyn",62864,15490,5633
"166",2020-08-12,"Brooklyn",62978,15496,5633
"167",2020-08-13,"Brooklyn",63059,15507,5635
"168",2020-08-14,"Brooklyn",63137,15512,5636
"169",2020-08-15,"Brooklyn",63170,15518,5638
"170",2020-08-16,"Brooklyn",63218,15520,5639
"171",2020-08-17,"Brooklyn",63312,15525,5640
"172",2020-08-18,"Brooklyn",63376,15532,5640
"173",2020-08-19,"Brooklyn",63448,15544,5641
"174",2020-08-20,"Brooklyn",63502,15549,5644
"175",2020-08-21,"Brooklyn",63574,15558,5644
"176",2020-08-22,"Brooklyn",63610,15562,5646
"177",2020-08-23,"Brooklyn",63666,15567,5646
"178",2020-08-24,"Brooklyn",63752,15573,5647
"179",2020-08-25,"Brooklyn",63835,15580,5649
"180",2020-08-26,"Brooklyn",63947,15591,5650
"181",2020-08-27,"Brooklyn",64036,15599,5650
"182",2020-08-28,"Brooklyn",64116,15605,5651
"183",2020-08-29,"Brooklyn",64152,15613,5652
"184",2020-08-30,"Brooklyn",64207,15618,5654
"185",2020-08-31,"Brooklyn",64317,15628,5654
"186",2020-09-01,"Brooklyn",64405,15636,5654
"187",2020-09-02,"Brooklyn",64500,15644,5656
"188",2020-09-03,"Brooklyn",64591,15652,5657
"189",2020-09-04,"Brooklyn",64653,15656,5658
"190",2020-09-05,"Brooklyn",64696,15662,5660
"191",2020-09-06,"Brooklyn",64759,15668,5662
"192",2020-09-07,"Brooklyn",64811,15675,5662
"193",2020-09-08,"Brooklyn",64906,15680,5663
"194",2020-09-09,"Brooklyn",64983,15683,5663
"195",2020-09-10,"Brooklyn",65058,15683,5663
"196",2020-09-11,"Brooklyn",65094,15683,5663
"197",2020-09-12,"Brooklyn",65097,15683,5663
"198",2020-09-13,"Brooklyn",65109,15683,5663
"199",2020-02-29,"Bronx",0,3,0
"200",2020-03-01,"Bronx",0,4,0
"201",2020-03-02,"Bronx",0,13,0
"202",2020-03-03,"Bronx",1,20,0
"203",2020-03-04,"Bronx",1,26,0
"204",2020-03-05,"Bronx",1,28,0
"205",2020-03-06,"Bronx",3,33,0
"206",2020-03-07,"Bronx",3,35,0
"207",2020-03-08,"Bronx",7,37,0
"208",2020-03-09,"Bronx",11,48,0
"209",2020-03-10,"Bronx",19,56,0
"210",2020-03-11,"Bronx",38,76,0
"211",2020-03-12,"Bronx",67,92,0
"212",2020-03-13,"Bronx",146,126,0
"213",2020-03-14,"Bronx",232,152,0
"214",2020-03-15,"Bronx",351,186,1
"215",2020-03-16,"Bronx",655,251,4
"216",2020-03-17,"Bronx",998,316,5
"217",2020-03-18,"Bronx",1481,414,6
"218",2020-03-19,"Bronx",2105,534,10
"219",2020-03-20,"Bronx",2828,646,23
"220",2020-03-21,"Bronx",3315,798,35
"221",2020-03-22,"Bronx",3808,961,47
"222",2020-03-23,"Bronx",4539,1167,59
"223",2020-03-24,"Bronx",5465,1420,73
"224",2020-03-25,"Bronx",6527,1708,104
"225",2020-03-26,"Bronx",7526,2012,141
"226",2020-03-27,"Bronx",8613,2314,177
"227",2020-03-28,"Bronx",9375,2616,239
"228",2020-03-29,"Bronx",10075,2925,294
"229",2020-03-30,"Bronx",11386,3242,369
"230",2020-03-31,"Bronx",12668,3598,467
"231",2020-04-01,"Bronx",13906,3943,560
"232",2020-04-02,"Bronx",15194,4285,656
"233",2020-04-03,"Bronx",16643,4644,772
"234",2020-04-04,"Bronx",17654,4929,879
"235",2020-04-05,"Bronx",18476,5247,1002
"236",2020-04-06,"Bronx",19988,5629,1114
"237",2020-04-07,"Bronx",21453,5963,1229
"238",2020-04-08,"Bronx",22756,6335,1343
"239",2020-04-09,"Bronx",24038,6637,1451
"240",2020-04-10,"Bronx",25267,6940,1569
"241",2020-04-11,"Bronx",26263,7205,1702
"242",2020-04-12,"Bronx",27025,7443,1812
"243",2020-04-13,"Bronx",27716,7723,1934
"244",2020-04-14,"Bronx",28791,7941,2045
"245",2020-04-15,"Bronx",29857,8162,2139
"246",2020-04-16,"Bronx",30793,8361,2225
"247",2020-04-17,"Bronx",31705,8551,2314
"248",2020-04-18,"Bronx",32258,8711,2376
"249",2020-04-19,"Bronx",32790,8864,2455
"250",2020-04-20,"Bronx",33771,9032,2533
"251",2020-04-21,"Bronx",34409,9182,2603
"252",2020-04-22,"Bronx",35333,9313,2671
"253",2020-04-23,"Bronx",36066,9443,2730
"254",2020-04-24,"Bronx",36645,9559,2792
"255",2020-04-25,"Bronx",37059,9663,2849
"256",2020-04-26,"Bronx",37255,9750,2903
"257",2020-04-27,"Bronx",37807,9866,2957
"258",2020-04-28,"Bronx",38476,9976,3013
"259",2020-04-29,"Bronx",39033,10073,3053
"260",2020-04-30,"Bronx",39517,10146,3098
"261",2020-05-01,"Bronx",39963,10241,3143
"262",2020-05-02,"Bronx",40225,10306,3192
"263",2020-05-03,"Bronx",40376,10364,3219
"264",2020-05-04,"Bronx",40725,10433,3254
"265",2020-05-05,"Bronx",41019,10519,3281
"266",2020-05-06,"Bronx",41298,10591,3310
"267",2020-05-07,"Bronx",41595,10651,3338
"268",2020-05-08,"Bronx",41847,10721,3360
"269",2020-05-09,"Bronx",42022,10768,3381
"270",2020-05-10,"Bronx",42097,10805,3394
"271",2020-05-11,"Bronx",42324,10858,3421
"272",2020-05-12,"Bronx",42679,10911,3441
"273",2020-05-13,"Bronx",43140,10964,3457
"274",2020-05-14,"Bronx",43396,11011,3468
