"","date_of_interest","boro","case_count","probable_case_count","hospitalized_count","death_count","probable_death_count","case_count_7day_avg","all_case_count_7day_avg","hospitalized_count_7day_avg","death_count_7day_avg","all_death_count_7day_avg"
"1",2020-02-29,"Brooklyn",0,0,0,0,0,0,0,0,0,0
"2",2020-03-01,"Brooklyn",0,0,0,0,0,0,0,0,0,0
"3",2020-03-02,"Brooklyn",0,0,0,0,0,0,0,0,0,0
"4",2020-03-03,"Brooklyn",0,0,0,0,0,0,0,0,0,0
"5",2020-03-04,"Brooklyn",1,0,1,0,0,0,0,0,0,0
"6",2020-03-05,"Brooklyn",3,0,2,0,0,0,0,0,0,0
"7",2020-03-06,"Brooklyn",1,0,1,0,0,1,1,1,0,0
"8",2020-03-07,"Brooklyn",2,0,2,0,0,1,1,1,0,0
"9",2020-03-08,"Brooklyn",5,0,7,0,0,2,2,2,0,0
"10",2020-03-09,"Brooklyn",16,0,11,0,0,4,4,3,0,0
"11",2020-03-10,"Brooklyn",11,0,10,0,0,6,6,5,0,0
"12",2020-03-11,"Brooklyn",31,0,10,0,0,10,10,6,0,0
"13",2020-03-12,"Brooklyn",96,0,28,0,0,23,23,10,0,0
"14",2020-03-13,"Brooklyn",166,0,36,0,0,47,47,15,0,0
"15",2020-03-14,"Brooklyn",163,0,38,1,0,70,70,20,0,0
"16",2020-03-15,"Brooklyn",433,0,46,0,0,131,131,26,0,0
"17",2020-03-16,"Brooklyn",740,1,92,1,1,234,234,37,0,0
"18",2020-03-17,"Brooklyn",783,3,96,4,3,345,345,49,1,1
"19",2020-03-18,"Brooklyn",966,2,120,6,2,478,479,65,2,3
"20",2020-03-19,"Brooklyn",1204,0,151,6,0,636,637,83,3,3
"21",2020-03-20,"Brooklyn",1137,0,201,11,0,775,776,106,4,5
"22",2020-03-21,"Brooklyn",554,2,183,12,2,831,832,127,6,7
"23",2020-03-22,"Brooklyn",755,1,193,10,0,877,878,148,7,8
"24",2020-03-23,"Brooklyn",910,0,297,27,0,901,902,177,11,12
"25",2020-03-24,"Brooklyn",1211,5,342,23,5,962,964,212,14,15
"26",2020-03-25,"Brooklyn",1254,7,410,37,7,1004,1006,254,18,20
"27",2020-03-26,"Brooklyn",1374,10,483,50,10,1028,1031,301,24,28
"28",2020-03-27,"Brooklyn",1423,11,454,75,11,1069,1074,337,33,38
