zipcode,day,positive,total,zcta_cum_perc_pos,neighborhood_name,borough_group,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,newcases
10001,5/18/20,335,NA,NA,Chelsea - Clinton,Manhattan,1421.72,23563.03,17,72.15,24.26,1
10002,5/18/20,975,NA,NA,Union Square - Lower East Side,Manhattan,1270.27,76755.41,138,179.79,33.8,5
10003,5/18/20,430,NA,NA,Union Square - Lower East Side,Manhattan,799.23,53801.62,30,55.76,22.14,4
10004,5/18/20,29,NA,NA,Lower Manhattan,Manhattan,794.39,3650.61,1,27.39,21.71,1
10005,5/18/20,58,NA,NA,Lower Manhattan,Manhattan,690.8,8396.11,1,11.91,17.33,1
10006,5/18/20,23,NA,NA,Lower Manhattan,Manhattan,665.17,3457.77,0,0,16.91,0
10007,5/18/20,50,NA,NA,Lower Manhattan,Manhattan,606.08,8249.73,3,36.36,16.18,0
10009,5/18/20,657,NA,NA,Union Square - Lower East Side,Manhattan,1118.34,58747.99,63,107.24,25.85,4
10010,5/18/20,251,NA,NA,Gramercy Park - Murray Hill,Manhattan,775.36,32371.86,20,61.78,17.04,0
10011,5/18/20,493,NA,NA,Chelsea - Clinton,Manhattan,995.95,49500.52,33,66.67,24.5,4
10012,5/18/20,155,NA,NA,Greenwich Village - Soho,Manhattan,646.34,23981.2,7,29.19,21.77,0
10013,5/18/20,247,NA,NA,Greenwich Village - Soho,Manhattan,850.81,29031.09,18,62,22.46,2
10014,5/18/20,283,NA,NA,Greenwich Village - Soho,Manhattan,911.63,31043.16,23,74.09,24.14,3
10016,5/18/20,642,NA,NA,Gramercy Park - Murray Hill,Manhattan,1222.29,52524.35,46,87.58,21.32,5
10017,5/18/20,132,NA,NA,Gramercy Park - Murray Hill,Manhattan,818.49,16127.22,5,31,17.79,0
10018,5/18/20,200,NA,NA,Chelsea - Clinton,Manhattan,2098.32,9531.44,3,31.47,27.78,1
10019,5/18/20,558,NA,NA,Chelsea - Clinton,Manhattan,1373.32,40631.45,42,103.37,25.39,0
10021,5/18/20,526,NA,NA,Upper East Side,Manhattan,1190.7,44175.61,57,129.03,21.42,1
10022,5/18/20,325,NA,NA,Gramercy Park - Murray Hill,Manhattan,1071.38,30334.8,25,82.41,20.87,0
10023,5/18/20,527,NA,NA,Upper West Side,Manhattan,874.33,60274.81,50,82.95,20.77,4
10024,5/18/20,615,NA,NA,Upper West Side,Manhattan,1072.59,57337.68,62,108.13,23.23,4
10025,5/18/20,1169,NA,NA,Upper West Side,Manhattan,1266.06,92333.47,144,155.96,26.28,7
10026,5/18/20,611,NA,NA,Central Harlem - Morningside Height,Manhattan,1565.94,39018.03,37,94.83,29.66,2
10027,5/18/20,959,NA,NA,Central Harlem - Morningside Height,Manhattan,1507.13,63631.04,96,150.87,30.74,8
10028,5/18/20,448,NA,NA,Upper East Side,Manhattan,911.4,49155.08,28,56.96,21.1,0
10029,5/18/20,1698,NA,NA,East Harlem,Manhattan,2153.69,78841.52,182,230.84,35.88,12
10030,5/18/20,469,NA,NA,Central Harlem - Morningside Height,Manhattan,1599.49,29321.91,43,146.65,31.66,3
