"","zipcode","neighborhood_name","borough_group","positive","covid_case_rate","pop_denominator","covid_death_count","covid_death_rate","percent_positive","day","total_covid_tests","newcases_june"
"1",10001,"Chelsea/NoMad/West Chelsea","Manhattan",361,1532.06,23563.03,21,89.12,17.38,2020-06-01,NA,0
"2",10002,"Chinatown/Lower East Side","Manhattan",1035,1348.44,76755.41,145,188.91,23.88,2020-06-01,NA,0
"3",10003,"East Village/Gramercy/Greenwich Village","Manhattan",445,827.11,53801.62,32,59.48,14.23,2020-06-01,NA,0
"4",10004,"Financial District","Manhattan",31,849.17,3650.61,1,27.39,14.69,2020-06-01,NA,0
"5",10005,"Financial District","Manhattan",61,726.53,8396.11,2,23.82,12.45,2020-06-01,NA,0
"6",10006,"Financial District","Manhattan",24,694.09,3457.77,0,0,11.32,2020-06-01,NA,0
"7",10007,"TriBeCa","Manhattan",54,654.57,8249.73,3,36.36,10.4,2020-06-01,NA,0
"8",10009,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",687,1169.4,58747.99,65,110.64,17.49,2020-06-01,NA,0
"9",10010,"Flatiron/Gramercy/Kips Bay","Manhattan",261,806.26,32371.86,20,61.78,11.18,2020-06-01,NA,0
"10",10011,"Chelsea","Manhattan",516,1042.41,49500.52,35,70.71,16.11,2020-06-01,NA,0
"11",10012,"Greenwich Village/SoHo","Manhattan",160,667.19,23981.2,8,33.36,13.5,2020-06-01,NA,0
"12",10013,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",258,888.7,29031.09,20,68.89,15.59,2020-06-01,NA,0
"13",10014,"Hudson Square/Meatpacking District/West Village","Manhattan",294,947.07,31043.16,24,77.31,14.83,2020-06-01,NA,0
"14",10016,"Kips Bay/Murray Hill/NoMad","Manhattan",676,1287.02,52524.35,48,91.39,15.29,2020-06-01,NA,0
"15",10017,"East Midtown/Murray Hill","Manhattan",141,874.3,16127.22,5,31,12.64,2020-06-01,NA,0
"16",10018,"Hell's Kitchen/Midtown Manhattan","Manhattan",203,2129.79,9531.44,3,31.47,18.88,2020-06-01,NA,0
"17",10019,"Hell's Kitchen/Midtown Manhattan","Manhattan",590,1452.08,40631.45,43,105.83,17.39,2020-06-01,NA,0
"18",10021,"Lenox Hill/Upper East Side","Manhattan",551,1247.29,44175.61,61,138.09,14.94,2020-06-01,NA,0
"19",10022,"East Midtown","Manhattan",336,1107.64,30334.8,26,85.71,13.94,2020-06-01,NA,0
"20",10023,"Lincoln Square","Manhattan",554,919.12,60274.81,52,86.27,14.08,2020-06-01,NA,0
"21",10024,"Upper West Side","Manhattan",677,1180.72,57337.68,67,116.85,16.67,2020-06-01,NA,0
"22",10025,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1289,1396.03,92333.47,159,172.2,18.91,2020-06-01,NA,0
"23",10026,"Central Harlem (South)","Manhattan",629,1612.08,39018.03,37,94.83,22.54,2020-06-01,NA,0
"24",10027,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1010,1587.28,63631.04,101,158.73,24.22,2020-06-01,NA,0
"25",10028,"Upper East Side/Yorkville","Manhattan",462,939.88,49155.08,29,59,14.63,2020-06-01,NA,0
"26",10029,"East Harlem","Manhattan",1788,2267.84,78841.52,194,246.06,27.4,2020-06-01,NA,0
"27",10030,"Central Harlem (North)","Manhattan",489,1667.69,29321.91,48,163.7,24.72,2020-06-01,NA,0
"28",10031,"Hamilton Heights/West Harlem","Manhattan",1286,2123.62,60556.93,116,191.56,26.62,2020-06-01,NA,0
"29",10032,"Washington Heights (South)","Manhattan",1482,2410.05,61492.57,157,255.32,27.14,2020-06-01,NA,0
"30",10033,"Washington Heights (North)/Washington Heights (South)","Manhattan",1310,2212.45,59210.43,114,192.53,26.42,2020-06-01,NA,0
"31",10034,"Inwood/Washington Heights (North)","Manhattan",696,1615.84,43073.65,68,157.87,23.25,2020-06-01,NA,0
"32",10035,"East Harlem","Manhattan",933,2710.11,34426.65,112,325.33,27.21,2020-06-01,NA,0
"33",10036,"Hell's Kitchen/Midtown Manhattan","Manhattan",408,1556.58,26211.25,35,133.53,18.44,2020-06-01,NA,0
"34",10037,"Central Harlem (North)/East Harlem","Manhattan",534,2586,20649.62,65,314.78,22.06,2020-06-01,NA,0
"35",10038,"Chinatown/Financial District","Manhattan",246,1115.75,22047.96,27,122.46,18.81,2020-06-01,NA,0
"36",10039,"Central Harlem (North)/Washington Heights (South)","Manhattan",506,1912.5,26457.52,56,211.66,25.51,2020-06-01,NA,0
"37",10040,"Washington Heights (North)","Manhattan",1093,2439.28,44808.28,106,236.56,28.35,2020-06-01,NA,0
"38",10044,"Roosevelt Island","Manhattan",233,1991.4,11700.29,33,282.04,25.49,2020-06-01,NA,0
"39",10065,"Lenox Hill/Upper East Side","Manhattan",326,1121.76,29061.49,26,89.47,13.24,2020-06-01,NA,0
"40",10069,"Lincoln Square","Manhattan",54,851.99,6338.13,2,31.56,14.21,2020-06-01,NA,0
"41",10075,"Lenox Hill/Upper East Side","Manhattan",418,1768.63,23634.14,45,190.4,18.8,2020-06-01,NA,0
"42",10128,"Upper East Side/Yorkville","Manhattan",627,1021.97,61351.93,36,58.68,14.61,2020-06-01,NA,0
"43",10280,"Battery Park City","Manhattan",50,519.82,9618.7,0,0,11.79,2020-06-01,NA,0
"44",10282,"Battery Park City","Manhattan",70,1269.16,5515.44,15,271.96,22.08,2020-06-01,NA,0
"45",10301,"Silver Lake/St. George","Staten Island",1166,2943.44,39613.55,99,249.91,28.18,2020-06-01,NA,0
"46",10302,"Elm Park","Staten Island",632,3366.36,18773.99,31,165.12,34.22,2020-06-01,NA,0
"47",10303,"Graniteville/Mariner's Harbor/Port Ivory","Staten Island",852,3247.98,26231.66,41,156.3,31.42,2020-06-01,NA,0
"48",10304,"New Dorp/Todt Hill","Staten Island",1367,3220.36,42448.71,163,383.99,30.22,2020-06-01,NA,0
"49",10305,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island",1220,2866.47,42560.99,74,173.87,28.65,2020-06-01,NA,0
"50",10306,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island",1428,2659.93,53685.66,74,137.84,25.9,2020-06-01,NA,0
"51",10307,"Tottenville","Staten Island",374,2458.17,15214.56,14,92.02,27.95,2020-06-01,NA,0
"52",10308,"Great Kills","Staten Island",626,2112.34,29635.33,25,84.36,25.18,2020-06-01,NA,0
"53",10309,"Charleston/Prince's Bay/Woodrow","Staten Island",830,2514.77,33004.98,30,90.9,26.4,2020-06-01,NA,0
"54",10310,"Port Richmond/Randall Manor/West Brighton","Staten Island",714,2991.08,23870.96,32,134.05,27.37,2020-06-01,NA,0
"55",10312,"Annadale/Rossville","Staten Island",1482,2457.53,60304.33,58,96.18,26.73,2020-06-01,NA,0
"56",10314,"Bloomfield/Freshkills Park","Staten Island",2603,2865.66,90834.29,179,197.06,28.89,2020-06-01,NA,0
"57",10451,"Concourse/Melrose","Bronx",1589,3329.93,47718.77,146,305.96,31.71,2020-06-01,NA,0
"58",10452,"Concourse/Highbridge","Bronx",2332,3027.19,77035.04,155,201.21,31.6,2020-06-01,NA,0
