group,boro,outcome,count,pop,rate
0-17,BK,CASE_COUNT,7727,575068,1343.7
18-44,BK,CASE_COUNT,41444,1035850,4001
45-64,BK,CASE_COUNT,30105,581098,5180.7
65-74,BK,CASE_COUNT,11186,210250,5320.3
75+,BK,CASE_COUNT,9185,157640,5826.6
0-17,BK,HOSPITALIZED_COUNT,306,575068,53.2
18-44,BK,HOSPITALIZED_COUNT,3366,1035850,325
45-64,BK,HOSPITALIZED_COUNT,5711,581098,982.8
65-74,BK,HOSPITALIZED_COUNT,4250,210250,2021.4
75+,BK,HOSPITALIZED_COUNT,5229,157640,3317.1
0-17,BK,HOSPITALIZED_COUNT,306,575068,53.2
18-44,BK,DEATH_COUNT,213,1035850,20.6
45-64,BK,DEATH_COUNT,1329,581098,228.7
65-74,BK,DEATH_COUNT,1521,210250,723.4
75+,BK,DEATH_COUNT,2901,157640,1840.3
0-17,BX,CASE_COUNT,4612,347020,1329
18-44,BX,CASE_COUNT,28560,546120,5229.6
45-64,BX,CASE_COUNT,24489,336300,7281.9
65-74,BX,CASE_COUNT,7268,104703,6941.5
75+,BX,CASE_COUNT,6136,84063,7299.3
0-17,BX,HOSPITALIZED_COUNT,228,347020,65.7
18-44,BX,HOSPITALIZED_COUNT,2641,546120,483.6
45-64,BX,HOSPITALIZED_COUNT,4870,336300,1448.1
65-74,BX,HOSPITALIZED_COUNT,3091,104703,2952.2
75+,BX,HOSPITALIZED_COUNT,3493,84063,4155.2
0-17,BX,HOSPITALIZED_COUNT,228,347020,65.7
18-44,BX,DEATH_COUNT,176,546120,32.2
45-64,BX,DEATH_COUNT,998,336300,296.8
65-74,BX,DEATH_COUNT,1056,104703,1008.6
75+,BX,DEATH_COUNT,1905,84063,2266.2
0-17,MN,CASE_COUNT,2409,23125,10417.3
18-44,MN,CASE_COUNT,21676,741685,2922.5
45-64,MN,CASE_COUNT,13739,379642,3618.9
65-74,MN,CASE_COUNT,5049,149311,3381.5
75+,MN,CASE_COUNT,5415,126810,4270.2
0-17,MN,HOSPITALIZED_COUNT,96,23125,415.1
18-44,MN,HOSPITALIZED_COUNT,1365,741685,184
45-64,MN,HOSPITALIZED_COUNT,2729,379642,718.8
65-74,MN,HOSPITALIZED_COUNT,2029,149311,1358.9
75+,MN,HOSPITALIZED_COUNT,3111,126810,2453.3
0-17,MN,HOSPITALIZED_COUNT,96,23125,415.1
18-44,MN,DEATH_COUNT,59,741685,8
45-64,MN,DEATH_COUNT,400,379642,105.4
65-74,MN,DEATH_COUNT,589,149311,394.5
75+,MN,DEATH_COUNT,1561,126810,1231
0-17,QN,CASE_COUNT,5777,447805,1290.1
18-44,QN,CASE_COUNT,41541,838050,4956.9
45-64,QN,CASE_COUNT,35150,599670,5861.6
65-74,QN,CASE_COUNT,10205,207880,4909.1
75+,QN,CASE_COUNT,8583,160455,5349.2
0-17,QN,HOSPITALIZED_COUNT,200,447805,44.7
18-44,QN,HOSPITALIZED_COUNT,3491,838050,416.6
45-64,QN,HOSPITALIZED_COUNT,7105,599670,1184.8
65-74,QN,HOSPITALIZED_COUNT,4152,207880,1997.3
75+,QN,HOSPITALIZED_COUNT,5163,160455,3217.7
0-17,QN,HOSPITALIZED_COUNT,200,447805,44.7
18-44,QN,DEATH_COUNT,257,838050,30.7
45-64,QN,DEATH_COUNT,1516,599670,252.8
65-74,QN,DEATH_COUNT,1527,207880,734.6
75+,QN,DEATH_COUNT,2926,160455,1823.6
0-17,SI,CASE_COUNT,2242,102975,2177.2
18-44,SI,CASE_COUNT,11604,163565,7094.4
45-64,SI,CASE_COUNT,8928,130302,6851.8
65-74,SI,CASE_COUNT,2420,46660,5186.5
75+,SI,CASE_COUNT,2096,32642,6421.2
0-17,SI,HOSPITALIZED_COUNT,41,102975,39.8
18-44,SI,HOSPITALIZED_COUNT,501,163565,306.3
45-64,SI,HOSPITALIZED_COUNT,1147,130302,880.3
65-74,SI,HOSPITALIZED_COUNT,718,46660,1538.8
75+,SI,HOSPITALIZED_COUNT,984,32642,3014.5
0-17,SI,HOSPITALIZED_COUNT,41,102975,39.8
18-44,SI,DEATH_COUNT,36,163565,22
45-64,SI,DEATH_COUNT,196,130302,150.4
65-74,SI,DEATH_COUNT,233,46660,499.4
75+,SI,DEATH_COUNT,569,32642,1743.2
