group,subgroup,boro,outcome,count,day
Age,0-4,BK,HOSPITALIZED_COUNT,119,2020-12-03
Age,0-4,BK,HOSPITALIZED_RATE,65.05,2020-12-03
Age,0-4,BX,HOSPITALIZED_COUNT,89,2020-12-03
Age,0-4,BX,HOSPITALIZED_RATE,88.82,2020-12-03
Age,0-4,MN,HOSPITALIZED_COUNT,39,2020-12-03
Age,0-4,MN,HOSPITALIZED_RATE,51.22,2020-12-03
Age,0-4,QN,HOSPITALIZED_COUNT,75,2020-12-03
Age,0-4,QN,HOSPITALIZED_RATE,54.71,2020-12-03
Age,0-4,SI,HOSPITALIZED_COUNT,17,2020-12-03
Age,0-4,SI,HOSPITALIZED_RATE,62.15,2020-12-03
Age,5-12,BK,HOSPITALIZED_COUNT,75,2020-12-03
Age,5-12,BK,HOSPITALIZED_RATE,29.76,2020-12-03
Age,5-12,BX,HOSPITALIZED_COUNT,41,2020-12-03
Age,5-12,BX,HOSPITALIZED_RATE,26.5,2020-12-03
Age,5-12,MN,HOSPITALIZED_COUNT,19,2020-12-03
Age,5-12,MN,HOSPITALIZED_RATE,19.15,2020-12-03
Age,5-12,QN,HOSPITALIZED_COUNT,42,2020-12-03
Age,5-12,QN,HOSPITALIZED_RATE,21.44,2020-12-03
Age,5-12,SI,HOSPITALIZED_COUNT,6,2020-12-03
Age,5-12,SI,HOSPITALIZED_RATE,13.11,2020-12-03
Age,13-17,BK,HOSPITALIZED_COUNT,81,2020-12-03
Age,13-17,BK,HOSPITALIZED_RATE,57.79,2020-12-03
Age,13-17,BX,HOSPITALIZED_COUNT,77,2020-12-03
Age,13-17,BX,HOSPITALIZED_RATE,83.6,2020-12-03
Age,13-17,MN,HOSPITALIZED_COUNT,29,2020-12-03
Age,13-17,MN,HOSPITALIZED_RATE,51.86,2020-12-03
Age,13-17,QN,HOSPITALIZED_COUNT,65,2020-12-03
Age,13-17,QN,HOSPITALIZED_RATE,56.62,2020-12-03
Age,13-17,SI,HOSPITALIZED_COUNT,15,2020-12-03
Age,13-17,SI,HOSPITALIZED_RATE,50.22,2020-12-03
Age,18-24,BK,HOSPITALIZED_COUNT,471,2020-12-03
Age,18-24,BK,HOSPITALIZED_RATE,226.63,2020-12-03
Age,18-24,BX,HOSPITALIZED_COUNT,367,2020-12-03
Age,18-24,BX,HOSPITALIZED_RATE,263.38,2020-12-03
Age,18-24,MN,HOSPITALIZED_COUNT,128,2020-12-03
Age,18-24,MN,HOSPITALIZED_RATE,87.88,2020-12-03
Age,18-24,QN,HOSPITALIZED_COUNT,349,2020-12-03
Age,18-24,QN,HOSPITALIZED_RATE,202.7,2020-12-03
Age,18-24,SI,HOSPITALIZED_COUNT,60,2020-12-03
Age,18-24,SI,HOSPITALIZED_RATE,151.24,2020-12-03
Age,25-34,BK,HOSPITALIZED_COUNT,1247,2020-12-03
Age,25-34,BK,HOSPITALIZED_RATE,265.3,2020-12-03
Age,25-34,BX,HOSPITALIZED_COUNT,951,2020-12-03
Age,25-34,BX,HOSPITALIZED_RATE,418.24,2020-12-03
Age,25-34,MN,HOSPITALIZED_COUNT,512,2020-12-03
Age,25-34,MN,HOSPITALIZED_RATE,141.48,2020-12-03
Age,25-34,QN,HOSPITALIZED_COUNT,1239,2020-12-03
Age,25-34,QN,HOSPITALIZED_RATE,344.48,2020-12-03
Age,25-34,SI,HOSPITALIZED_COUNT,164,2020-12-03
Age,25-34,SI,HOSPITALIZED_RATE,253.4,2020-12-03
Age,35-44,BK,HOSPITALIZED_COUNT,1442,2020-12-03
Age,35-44,BK,HOSPITALIZED_RATE,402.81,2020-12-03
Age,35-44,BX,HOSPITALIZED_COUNT,1214,2020-12-03
Age,35-44,BX,HOSPITALIZED_RATE,676.72,2020-12-03
Age,35-44,MN,HOSPITALIZED_COUNT,645,2020-12-03
Age,35-44,MN,HOSPITALIZED_RATE,275.46,2020-12-03
Age,35-44,QN,HOSPITALIZED_COUNT,1705,2020-12-03
Age,35-44,QN,HOSPITALIZED_RATE,556.83,2020-12-03
Age,35-44,SI,HOSPITALIZED_COUNT,210,2020-12-03
Age,35-44,SI,HOSPITALIZED_RATE,354.89,2020-12-03
Age,45-54,BK,HOSPITALIZED_COUNT,2026,2020-12-03
Age,45-54,BK,HOSPITALIZED_RATE,685.93,2020-12-03
Age,45-54,BX,HOSPITALIZED_COUNT,1840,2020-12-03
Age,45-54,BX,HOSPITALIZED_RATE,1058.9,2020-12-03
Age,45-54,MN,HOSPITALIZED_COUNT,964,2020-12-03
Age,45-54,MN,HOSPITALIZED_RATE,492.89,2020-12-03
Age,45-54,QN,HOSPITALIZED_COUNT,2655,2020-12-03
Age,45-54,QN,HOSPITALIZED_RATE,887.36,2020-12-03
Age,45-54,SI,HOSPITALIZED_COUNT,382,2020-12-03
Age,45-54,SI,HOSPITALIZED_RATE,595.28,2020-12-03
Age,55-64,BK,HOSPITALIZED_COUNT,3377,2020-12-03
