group,subgroup,boro,outcome,count,day
Race/ethnicity,Asian/Pacific-Islander,BK,HOSPITALIZED_COUNT,811,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BK,HOSPITALIZED_RATE,244.71,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,HOSPITALIZED_COUNT,326,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,HOSPITALIZED_RATE,519.11,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,HOSPITALIZED_COUNT,418,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,HOSPITALIZED_RATE,186.19,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,HOSPITALIZED_COUNT,2346,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,HOSPITALIZED_RATE,332.02,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,HOSPITALIZED_COUNT,130,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,HOSPITALIZED_RATE,224.14,2020-11-16
Race/ethnicity,Black/African-American,BK,HOSPITALIZED_COUNT,5990,2020-11-16
Race/ethnicity,Black/African-American,BK,HOSPITALIZED_RATE,666.1,2020-11-16
Race/ethnicity,Black/African-American,BX,HOSPITALIZED_COUNT,4284,2020-11-16
Race/ethnicity,Black/African-American,BX,HOSPITALIZED_RATE,954.37,2020-11-16
Race/ethnicity,Black/African-American,MN,HOSPITALIZED_COUNT,1901,2020-11-16
Race/ethnicity,Black/African-American,MN,HOSPITALIZED_RATE,755.42,2020-11-16
Race/ethnicity,Black/African-American,QN,HOSPITALIZED_COUNT,3339,2020-11-16
Race/ethnicity,Black/African-American,QN,HOSPITALIZED_RATE,679.42,2020-11-16
Race/ethnicity,Black/African-American,SI,HOSPITALIZED_COUNT,378,2020-11-16
Race/ethnicity,Black/African-American,SI,HOSPITALIZED_RATE,864.25,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,HOSPITALIZED_COUNT,2906,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,HOSPITALIZED_RATE,635.28,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,HOSPITALIZED_COUNT,5707,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,HOSPITALIZED_RATE,769.78,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,HOSPITALIZED_COUNT,2735,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,HOSPITALIZED_RATE,570.42,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,HOSPITALIZED_COUNT,5807,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,HOSPITALIZED_RATE,932.95,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,HOSPITALIZED_COUNT,489,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,HOSPITALIZED_RATE,667.44,2020-11-16
Race/ethnicity,White,BK,HOSPITALIZED_COUNT,4815,2020-11-16
Race/ethnicity,White,BK,HOSPITALIZED_RATE,459.04,2020-11-16
Race/ethnicity,White,BX,HOSPITALIZED_COUNT,1162,2020-11-16
Race/ethnicity,White,BX,HOSPITALIZED_RATE,569.41,2020-11-16
Race/ethnicity,White,MN,HOSPITALIZED_COUNT,1797,2020-11-16
Race/ethnicity,White,MN,HOSPITALIZED_RATE,177.51,2020-11-16
Race/ethnicity,White,QN,HOSPITALIZED_COUNT,3414,2020-11-16
Race/ethnicity,White,QN,HOSPITALIZED_RATE,385.96,2020-11-16
Race/ethnicity,White,SI,HOSPITALIZED_COUNT,1443,2020-11-16
Race/ethnicity,White,SI,HOSPITALIZED_RATE,362.3,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BK,CASE_COUNT,2780,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BK,CASE_RATE,822.83,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,CASE_COUNT,1105,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,CASE_RATE,1789.4,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,CASE_COUNT,1360,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,CASE_RATE,590.43,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,CASE_COUNT,7220,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,CASE_RATE,1095.66,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,CASE_COUNT,556,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,CASE_RATE,999.38,2020-11-16
Race/ethnicity,Black/African-American,BK,CASE_COUNT,14181,2020-11-16
Race/ethnicity,Black/African-American,BK,CASE_RATE,1692.43,2020-11-16
Race/ethnicity,Black/African-American,BX,CASE_COUNT,11956,2020-11-16
Race/ethnicity,Black/African-American,BX,CASE_RATE,2737.36,2020-11-16
Race/ethnicity,Black/African-American,MN,CASE_COUNT,4184,2020-11-16
Race/ethnicity,Black/African-American,MN,CASE_RATE,1783.83,2020-11-16
Race/ethnicity,Black/African-American,QN,CASE_COUNT,8950,2020-11-16
Race/ethnicity,Black/African-American,QN,CASE_RATE,1977.55,2020-11-16
Race/ethnicity,Black/African-American,SI,CASE_COUNT,1201,2020-11-16
Race/ethnicity,Black/African-American,SI,CASE_RATE,2668.38,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,CASE_COUNT,8119,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,CASE_RATE,1712.21,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,CASE_COUNT,22167,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,CASE_RATE,2862.92,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,CASE_COUNT,7655,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,CASE_RATE,1697.4,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,CASE_COUNT,16019,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,CASE_RATE,2514.57,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,CASE_COUNT,1837,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,CASE_RATE,2228.73,2020-11-16
Race/ethnicity,White,BK,CASE_COUNT,16540,2020-11-16
Race/ethnicity,White,BK,CASE_RATE,1707.01,2020-11-16
Race/ethnicity,White,BX,CASE_COUNT,3703,2020-11-16
Race/ethnicity,White,BX,CASE_RATE,2508.27,2020-11-16
Race/ethnicity,White,MN,CASE_COUNT,7745,2020-11-16
Race/ethnicity,White,MN,CASE_RATE,868.54,2020-11-16
Race/ethnicity,White,QN,CASE_COUNT,10496,2020-11-16
Race/ethnicity,White,QN,CASE_RATE,1614.3,2020-11-16
Race/ethnicity,White,SI,CASE_COUNT,6971,2020-11-16
Race/ethnicity,White,SI,CASE_RATE,2277.74,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BK,DEATH_COUNT,305,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BK,DEATH_RATE,98.77,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,DEATH_COUNT,91,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,BX,DEATH_RATE,152.44,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,DEATH_COUNT,156,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,MN,DEATH_RATE,67.62,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,DEATH_COUNT,841,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,QN,DEATH_RATE,122.54,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,DEATH_COUNT,59,2020-11-16
Race/ethnicity,Asian/Pacific-Islander,SI,DEATH_RATE,109.11,2020-11-16
Race/ethnicity,Black/African-American,BK,DEATH_COUNT,2163,2020-11-16
Race/ethnicity,Black/African-American,BK,DEATH_RATE,233.71,2020-11-16
Race/ethnicity,Black/African-American,BX,DEATH_COUNT,1333,2020-11-16
Race/ethnicity,Black/African-American,BX,DEATH_RATE,298.88,2020-11-16
Race/ethnicity,Black/African-American,MN,DEATH_COUNT,593,2020-11-16
Race/ethnicity,Black/African-American,MN,DEATH_RATE,226.71,2020-11-16
Race/ethnicity,Black/African-American,QN,DEATH_COUNT,1170,2020-11-16
Race/ethnicity,Black/African-American,QN,DEATH_RATE,232.13,2020-11-16
Race/ethnicity,Black/African-American,SI,DEATH_COUNT,115,2020-11-16
Race/ethnicity,Black/African-American,SI,DEATH_RATE,286.06,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,DEATH_COUNT,1166,2020-11-16
Race/ethnicity,Hispanic/Latino,BK,DEATH_RATE,267.23,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,DEATH_COUNT,1903,2020-11-16
Race/ethnicity,Hispanic/Latino,BX,DEATH_RATE,270.1,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,DEATH_COUNT,956,2020-11-16
Race/ethnicity,Hispanic/Latino,MN,DEATH_RATE,192.45,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,DEATH_COUNT,1846,2020-11-16
Race/ethnicity,Hispanic/Latino,QN,DEATH_RATE,313.25,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,DEATH_COUNT,132,2020-11-16
Race/ethnicity,Hispanic/Latino,SI,DEATH_RATE,211.32,2020-11-16
Race/ethnicity,White,BK,DEATH_COUNT,1724,2020-11-16
Race/ethnicity,White,BK,DEATH_RATE,155.72,2020-11-16
Race/ethnicity,White,BX,DEATH_COUNT,468,2020-11-16
Race/ethnicity,White,BX,DEATH_RATE,172.17,2020-11-16
Race/ethnicity,White,MN,DEATH_COUNT,673,2020-11-16
Race/ethnicity,White,MN,DEATH_RATE,61.69,2020-11-16
Race/ethnicity,White,QN,DEATH_COUNT,1513,2020-11-16
Race/ethnicity,White,QN,DEATH_RATE,147.88,2020-11-16
Race/ethnicity,White,SI,DEATH_COUNT,577,2020-11-16
Race/ethnicity,White,SI,DEATH_RATE,132.34,2020-11-16
