group,subgroup,boro,outcome,count,day
Sex,Female,BK,HOSPITALIZED_COUNT,7875,2020-11-14
Sex,Female,BK,HOSPITALIZED_RATE,584.32,2020-11-14
Sex,Female,BX,HOSPITALIZED_COUNT,6003,2020-11-14
Sex,Female,BX,HOSPITALIZED_RATE,801.83,2020-11-14
Sex,Female,MN,HOSPITALIZED_COUNT,3664,2020-11-14
Sex,Female,MN,HOSPITALIZED_RATE,427.42,2020-11-14
Sex,Female,QN,HOSPITALIZED_COUNT,7803,2020-11-14
Sex,Female,QN,HOSPITALIZED_RATE,672.69,2020-11-14
Sex,Female,SI,HOSPITALIZED_COUNT,1151,2020-11-14
Sex,Female,SI,HOSPITALIZED_RATE,470.15,2020-11-14
Sex,Male,BK,HOSPITALIZED_COUNT,9341,2020-11-14
Sex,Male,BK,HOSPITALIZED_RATE,770.59,2020-11-14
Sex,Male,BX,HOSPITALIZED_COUNT,7091,2020-11-14
Sex,Male,BX,HOSPITALIZED_RATE,1059.07,2020-11-14
Sex,Male,MN,HOSPITALIZED_COUNT,4816,2020-11-14
Sex,Male,MN,HOSPITALIZED_RATE,624.26,2020-11-14
Sex,Male,QN,HOSPITALIZED_COUNT,10572,2020-11-14
Sex,Male,QN,HOSPITALIZED_RATE,966.46,2020-11-14
Sex,Male,SI,HOSPITALIZED_COUNT,1510,2020-11-14
Sex,Male,SI,HOSPITALIZED_RATE,652.75,2020-11-14
Sex,Female,BK,CASE_COUNT,38292,2020-11-14
Sex,Female,BK,CASE_RATE,2841.27,2020-11-14
Sex,Female,BX,CASE_COUNT,29386,2020-11-14
Sex,Female,BX,CASE_RATE,3925.15,2020-11-14
Sex,Female,MN,CASE_COUNT,17132,2020-11-14
Sex,Female,MN,CASE_RATE,1998.53,2020-11-14
Sex,Female,QN,CASE_COUNT,38360,2020-11-14
Sex,Female,QN,CASE_RATE,3306.98,2020-11-14
Sex,Female,SI,CASE_COUNT,8798,2020-11-14
Sex,Female,SI,CASE_RATE,3593.76,2020-11-14
Sex,Male,BK,CASE_COUNT,38592,2020-11-14
Sex,Male,BK,CASE_RATE,3183.65,2020-11-14
Sex,Male,BX,CASE_COUNT,28043,2020-11-14
Sex,Male,BX,CASE_RATE,4188.35,2020-11-14
Sex,Male,MN,CASE_COUNT,18550,2020-11-14
Sex,Male,MN,CASE_RATE,2404.48,2020-11-14
Sex,Male,QN,CASE_COUNT,40720,2020-11-14
Sex,Male,QN,CASE_RATE,3722.5,2020-11-14
Sex,Male,SI,CASE_COUNT,9393,2020-11-14
Sex,Male,SI,CASE_RATE,4060.43,2020-11-14
Sex,Female,BK,DEATH_COUNT,2322,2020-11-14
Sex,Female,BK,DEATH_RATE,172.29,2020-11-14
Sex,Female,BX,DEATH_COUNT,1698,2020-11-14
Sex,Female,BX,DEATH_RATE,226.81,2020-11-14
Sex,Female,MN,DEATH_COUNT,1049,2020-11-14
Sex,Female,MN,DEATH_RATE,122.37,2020-11-14
Sex,Female,QN,DEATH_COUNT,2367,2020-11-14
Sex,Female,QN,DEATH_RATE,204.06,2020-11-14
Sex,Female,SI,DEATH_COUNT,379,2020-11-14
Sex,Female,SI,DEATH_RATE,154.81,2020-11-14
Sex,Male,BK,DEATH_COUNT,3476,2020-11-14
Sex,Male,BK,DEATH_RATE,286.75,2020-11-14
Sex,Male,BX,DEATH_COUNT,2388,2020-11-14
Sex,Male,BX,DEATH_RATE,356.66,2020-11-14
Sex,Male,MN,DEATH_COUNT,1505,2020-11-14
Sex,Male,MN,DEATH_RATE,195.08,2020-11-14
Sex,Male,QN,DEATH_COUNT,3716,2020-11-14
Sex,Male,QN,DEATH_RATE,339.71,2020-11-14
Sex,Male,SI,DEATH_COUNT,539,2020-11-14
Sex,Male,SI,DEATH_RATE,233,2020-11-14
