zipcode,day,positive,total,zcta_cum_perc_pos,neighborhood_name,borough_group,covid_case_rate,pop_denominator,covid_death_count,covid_death_rate,percent_positive,newcases
10001,2020-05-01,304,826,36.8,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10002,2020-05-01,848,1910,44.4,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,0
10003,2020-05-01,389,1156,33.65,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,0
10004,2020-05-01,26,82,31.71,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10005,2020-05-01,53,197,26.9,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10006,2020-05-01,21,86,24.42,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10007,2020-05-01,45,189,23.81,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10009,2020-05-01,601,1664,36.12,Union Square - Lower East Side,Manhattan,NA,NA,NA,NA,NA,0
10010,2020-05-01,228,833,27.37,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,0
10011,2020-05-01,453,1199,37.78,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10012,2020-05-01,140,461,30.37,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,0
10013,2020-05-01,212,638,33.23,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,0
10014,2020-05-01,258,714,36.13,Greenwich Village - Soho,Manhattan,NA,NA,NA,NA,NA,0
10016,2020-05-01,587,1788,32.83,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,0
10017,2020-05-01,124,446,27.8,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,0
10018,2020-05-01,189,525,36,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10019,2020-05-01,509,1430,35.59,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10021,2020-05-01,489,1553,31.49,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10022,2020-05-01,290,975,29.74,Gramercy Park - Murray Hill,Manhattan,NA,NA,NA,NA,NA,0
10023,2020-05-01,487,1566,31.1,Upper West Side,Manhattan,NA,NA,NA,NA,NA,0
10024,2020-05-01,557,1699,32.78,Upper West Side,Manhattan,NA,NA,NA,NA,NA,0
10025,2020-05-01,1065,2891,36.84,Upper West Side,Manhattan,NA,NA,NA,NA,NA,0
10026,2020-05-01,540,1330,40.6,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,0
10027,2020-05-01,805,1872,43,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,0
10028,2020-05-01,423,1358,31.15,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10029,2020-05-01,1492,3242,46.02,East Harlem,Manhattan,NA,NA,NA,NA,NA,0
10030,2020-05-01,419,937,44.72,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,0
10031,2020-05-01,1028,2008,51.2,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,0
10032,2020-05-01,1185,2419,48.99,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,0
10033,2020-05-01,1064,2086,51.01,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,0
10034,2020-05-01,569,1253,45.41,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,0
10035,2020-05-01,779,1613,48.3,East Harlem,Manhattan,NA,NA,NA,NA,NA,0
10036,2020-05-01,353,978,36.09,Chelsea - Clinton,Manhattan,NA,NA,NA,NA,NA,0
10037,2020-05-01,350,816,42.89,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,0
10038,2020-05-01,207,525,39.43,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10039,2020-05-01,423,983,43.03,Central Harlem - Morningside Height,Manhattan,NA,NA,NA,NA,NA,0
10040,2020-05-01,801,1596,50.19,Washington Heights - Inwood,Manhattan,NA,NA,NA,NA,NA,0
10044,2020-05-01,170,388,43.81,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10065,2020-05-01,281,984,28.56,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10069,2020-05-01,46,156,29.49,Upper West Side,Manhattan,NA,NA,NA,NA,NA,0
10075,2020-05-01,339,958,35.39,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10128,2020-05-01,548,1848,29.65,Upper East Side,Manhattan,NA,NA,NA,NA,NA,0
10280,2020-05-01,36,157,22.93,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10282,2020-05-01,64,160,40,Lower Manhattan,Manhattan,NA,NA,NA,NA,NA,0
10301,2020-05-01,990,2324,42.6,Stapleton - St. George,Staten Island,NA,NA,NA,NA,NA,0
10302,2020-05-01,546,1203,45.39,Port Richmond,Staten Island,NA,NA,NA,NA,NA,0
10303,2020-05-01,747,1705,43.81,Port Richmond,Staten Island,NA,NA,NA,NA,NA,0
10304,2020-05-01,1200,2739,43.81,Stapleton - St. George,Staten Island,NA,NA,NA,NA,NA,0
10305,2020-05-01,1071,2727,39.27,Stapleton - St. George,Staten Island,NA,NA,NA,NA,NA,0
10306,2020-05-01,1283,3536,36.28,South Beach - Tottenville,Staten Island,NA,NA,NA,NA,NA,0
10307,2020-05-01,345,954,36.16,South Beach - Tottenville,Staten Island,NA,NA,NA,NA,NA,0
10308,2020-05-01,578,1651,35.01,South Beach - Tottenville,Staten Island,NA,NA,NA,NA,NA,0
10309,2020-05-01,771,2136,36.1,South Beach - Tottenville,Staten Island,NA,NA,NA,NA,NA,0
10310,2020-05-01,636,1607,39.58,Port Richmond,Staten Island,NA,NA,NA,NA,NA,0
10312,2020-05-01,1354,3573,37.9,South Beach - Tottenville,Staten Island,NA,NA,NA,NA,NA,0
10314,2020-05-01,2363,5892,40.11,Willowbrook,Staten Island,NA,NA,NA,NA,NA,0
10451,2020-05-01,1378,2779,49.59,High Bridge - Morrisania,Bronx,NA,NA,NA,NA,NA,0
10452,2020-05-01,1920,3857,49.78,High Bridge - Morrisania,Bronx,NA,NA,NA,NA,NA,0
10453,2020-05-01,1912,3818,50.08,Crotona - Tremont,Bronx,NA,NA,NA,NA,NA,0
10454,2020-05-01,949,2017,47.05,Hunts Point - Mott Haven,Bronx,NA,NA,NA,NA,NA,0
10455,2020-05-01,1041,2114,49.24,Hunts Point - Mott Haven,Bronx,NA,NA,NA,NA,NA,0
10456,2020-05-01,2044,4227,48.36,High Bridge - Morrisania,Bronx,NA,NA,NA,NA,NA,0
10457,2020-05-01,1714,3574,47.96,Crotona - Tremont,Bronx,NA,NA,NA,NA,NA,0
10458,2020-05-01,1670,3556,46.96,Fordham - Bronx Park,Bronx,NA,NA,NA,NA,NA,0
10459,2020-05-01,1250,2476,50.48,Hunts Point - Mott Haven,Bronx,NA,NA,NA,NA,NA,0
10460,2020-05-01,1351,2800,48.25,Crotona - Tremont,Bronx,NA,NA,NA,NA,NA,0
10461,2020-05-01,1627,3640,44.7,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10462,2020-05-01,1932,4277,45.17,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10463,2020-05-01,1551,3663,42.34,Kingsbridge - Riverdale,Bronx,NA,NA,NA,NA,NA,0
10464,2020-05-01,113,340,33.24,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10465,2020-05-01,1316,3332,39.5,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10466,2020-05-01,2044,4194,48.74,Northeast Bronx,Bronx,NA,NA,NA,NA,NA,0
10467,2020-05-01,2832,5713,49.57,Fordham - Bronx Park,Bronx,NA,NA,NA,NA,NA,0
10468,2020-05-01,2065,3937,52.45,Fordham - Bronx Park,Bronx,NA,NA,NA,NA,NA,0
10469,2020-05-01,2526,4953,51,Northeast Bronx,Bronx,NA,NA,NA,NA,NA,0
10470,2020-05-01,387,882,43.88,Northeast Bronx,Bronx,NA,NA,NA,NA,NA,0
10471,2020-05-01,507,1282,39.55,Kingsbridge - Riverdale,Bronx,NA,NA,NA,NA,NA,0
10472,2020-05-01,1618,3074,52.64,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10473,2020-05-01,1637,3550,46.11,Pelham - Throgs Neck,Bronx,NA,NA,NA,NA,NA,0
10474,2020-05-01,277,602,46.01,Hunts Point - Mott Haven,Bronx,NA,NA,NA,NA,NA,0
10475,2020-05-01,1498,3531,42.42,Northeast Bronx,Bronx,NA,NA,NA,NA,NA,0
11004,2020-05-01,489,872,56.08,Southeast Queens,Queens,NA,NA,NA,NA,NA,0
11101,2020-05-01,524,1316,39.82,Long Island City - Astoria,Queens,NA,NA,NA,NA,NA,0
